region_id,Age_40_44_NonInd_F,Age_40_44_NonInd_P,Age_40_44_Indig_st_nsM,Age_40_44_Indig_st_nsF,Age_40_44_Indig_st_nsP,Age_40_44_TotM,Age_40_44_TotF,Age_40_44_TotP,Age_45_49_Indig_M,Age_45_49_Indig_F,Age_45_49_Indig_P,Age_45_49_NonInd_M,Age_45_49_NonInd_F,Age_45_49_NonInd_P,Age_45_49_Indig_st_nsM,Age_45_49_Indig_st_nsF,Age_45_49_Indig_st_nsP,Age_45_49_TotM,Age_45_49_TotF,Age_45_49_TotP,Age_50_54_Indig_M,Age_50_54_Indig_F,Age_50_54_Indig_P,Age_50_54_NonInd_M,Age_50_54_NonInd_F,Age_50_54_NonInd_P,Age_50_54_Indig_st_nsM,Age_50_54_Indig_st_nsF,Age_50_54_Indig_st_nsP,Age_50_54_TotM,Age_50_54_TotF,Age_50_54_TotP,Age_55_59_Indig_M,Age_55_59_Indig_F,Age_55_59_Indig_P,Age_55_59_NonInd_M,Age_55_59_NonInd_F,Age_55_59_NonInd_P,Age_55_59_Indig_st_nsM,Age_55_59_Indig_st_nsF,Age_55_59_Indig_st_nsP,Age_55_59_TotM,Age_55_59_TotF,Age_55_59_TotP,Age_60_64_Indig_M,Age_60_64_Indig_F,Age_60_64_Indig_P,Age_60_64_NonInd_M,Age_60_64_NonInd_F,Age_60_64_NonInd_P,Age_60_64_Indig_st_nsM,Age_60_64_Indig_st_nsF,Age_60_64_Indig_st_nsP,Age_60_64_TotM,Age_60_64_TotF,Age_60_64_TotP,Age_65over_Indig_M,Age_65over_Indig_F,Age_65over_Indig_P,Age_65over_NonInd_M,Age_65over_NonInd_F,Age_65over_NonInd_P,Age_65over_Indig_st_nsM,Age_65over_Indig_st_nsF,Age_65over_Indig_st_nsP,Age_65_over_TotM,Age_65_over_TotF,Age_65_over_TotP,Tot_Indig_M,Tot_Indig_F,Tot_Indig_P,Tot_NonInd_M,Tot_NonInd_F,Tot_NonInd_P,Tot_Indig_st_nsM,Tot_Indig_st_nsF,Tot_Indig_st_nsP,Tot_TotM,Tot_TotF,Tot_TotP
IREG701,778,1496,89,89,178,945,1048,1993,112,136,248,782,786,1568,103,74,177,997,996,1993,97,136,233,763,741,1504,76,69,145,936,946,1882,82,93,175,659,655,1314,78,53,131,819,801,1620,69,73,142,485,379,864,51,27,78,605,479,1084,91,143,234,562,590,1152,66,59,125,719,792,1511,2202,2488,4690,9179,9230,18409,1175,910,2085,12556,12628,25184
IREG702,53,172,26,10,36,415,347,762,185,196,381,101,63,164,21,7,28,307,266,573,167,211,378,95,77,172,8,10,18,270,298,568,135,134,269,89,71,160,9,10,19,233,215,448,80,114,194,79,53,132,12,7,19,171,174,345,113,232,345,58,23,81,15,12,27,186,267,453,4237,4140,8377,1185,884,2069,268,172,440,5690,5196,10886
IREG703,3947,8030,562,449,1011,5019,4831,9850,313,328,641,3841,3637,7478,498,423,921,4652,4388,9040,268,293,561,3542,3426,6968,499,338,837,4309,4057,8366,177,227,404,3177,2822,5999,412,306,718,3766,3355,7121,118,167,285,2742,2208,4950,366,228,594,3226,2603,5829,129,220,349,3651,3096,6747,457,321,778,4237,3637,7874,5822,5801,11623,51264,47446,98710,7014,5451,12465,64100,58698,122798
IREG704,90,242,16,20,36,486,444,930,250,243,493,145,95,240,16,6,22,411,344,755,188,217,405,150,101,251,16,14,30,354,332,686,130,142,272,124,98,222,22,6,28,276,246,522,69,111,180,105,64,169,9,4,13,183,179,362,119,158,277,88,37,125,11,3,14,218,198,416,5183,5194,10377,1607,1178,2785,226,141,367,7016,6513,13529
IREG705,267,564,41,38,79,565,647,1212,206,213,419,271,265,536,36,35,71,513,513,1026,148,182,330,302,274,576,37,28,65,487,484,971,131,119,250,277,239,516,44,21,65,452,379,831,78,99,177,254,190,444,25,17,42,357,306,663,135,159,294,349,215,564,34,26,60,518,400,918,4158,4479,8637,3921,3592,7513,540,448,988,8619,8519,17138
IREG706,221,477,24,14,38,551,554,1105,222,254,476,237,187,424,26,18,44,485,459,944,198,198,396,220,158,378,28,10,38,446,366,812,121,150,271,154,128,282,14,12,26,289,290,579,76,86,162,120,62,182,10,4,14,206,152,358,103,146,249,52,20,72,4,3,7,159,169,328,4551,4705,9256,2744,2262,5006,249,195,444,7544,7162,14706
IREG707,47,111,16,9,25,175,187,362,98,93,191,65,62,127,13,8,21,176,163,339,51,80,131,90,81,171,9,18,27,150,179,329,42,67,109,82,78,160,7,10,17,131,155,286,44,44,88,90,58,148,11,10,21,145,112,257,70,82,152,105,47,152,21,20,41,196,149,345,1802,1883,3685,899,783,1682,178,181,359,2879,2847,5726
IREG794,30,81,8,6,14,64,42,106,6,5,11,45,44,89,10,8,18,61,57,118,10,4,14,49,70,119,11,10,21,70,84,154,3,3,6,100,92,192,13,16,29,116,111,227,4,6,10,101,76,177,19,8,27,124,90,214,0,0,0,140,82,222,15,7,22,155,89,244,83,50,133,793,712,1505,145,86,231,1021,848,1869
IREG797,0,7,4,0,4,11,0,11,0,0,0,8,0,8,0,3,3,8,3,11,0,0,0,4,3,7,0,0,0,4,3,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,7,0,0,0,7,0,7,0,0,0,3,4,7,0,0,0,3,4,7,3,0,3,77,14,91,10,3,13,90,17,107
IREG801,12582,24654,541,420,961,12760,13157,25917,137,152,289,11297,12124,23421,500,365,865,11934,12641,24575,103,110,213,10778,11590,22368,427,349,776,11308,12049,23357,89,89,178,9397,10115,19512,368,314,682,9854,10518,20372,44,41,85,8599,9093,17692,307,266,573,8950,9400,18350,42,64,106,16536,20039,36575,680,773,1453,17258,20876,38134,2639,2518,5157,166098,171362,337460,7678,6291,13969,176415,180171,356586
IREG894,22,51,3,0,3,32,25,57,0,0,0,9,15,24,4,0,4,13,15,28,3,0,3,19,22,41,3,3,6,25,25,50,3,3,6,17,13,30,3,0,3,23,16,39,3,0,3,12,8,20,0,0,0,15,8,23,0,0,0,13,12,25,0,0,0,13,12,25,18,12,30,285,280,565,25,9,34,328,301,629
IREG897,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,3,3,0,0,0,0,0,0,0,3,3,0,3,3
IREG901,76,183,3,8,11,113,84,197,0,0,0,117,82,199,3,3,6,120,85,205,3,0,3,91,74,165,3,3,6,97,77,174,0,0,0,94,71,165,3,10,13,97,81,178,0,0,0,90,38,128,5,3,8,95,41,136,3,0,3,84,44,128,0,4,4,87,48,135,12,4,16,1678,813,2491,55,58,113,1745,875,2620
