region_id,No_Int_con_HHs_with_Ind_p,No_Internet_connect_Other_hhd,No_Internet_connect_Tot_hhd,Ty_Int_con_Bba_HHs_with_Ind_p,Type_Int_conn_Bband_Other_hhd,Type_Int_conn_Bband_Tot_hhd,Typ_Int_con_Diup_HHs_w_Ind_p,Type_Int_conn_Di_up_Other_hhd,Type_Int_conn_Di_up_Tot_hhd,Type_Int_con_Oth_HHs_w_Ind_p,Type_Int_conn_Other_Other_hhd,Type_Int_conn_Other_Tot_hhd,Type_Int_con_Tot_HHs_w_Ind_p,Type_Int_conn_Tot_Oth_hhd,Type_Int_conn_Tot_Tot_hhd,Internet_con_ns_HHs_w_Ind_p,Internet_connect_ns_Oth_hhd,Internet_connect_ns_Tot_hhd,Tot_Hholds_w_Indig_per,Tot_Oth_households,Tot_Tot_households
LGA18150,252,883,1135,228,1384,1612,10,87,97,36,69,105,274,1540,1814,17,95,112,543,2518,3061
LGA18200,141,602,743,60,1347,1407,3,94,97,10,71,81,73,1512,1585,21,114,135,235,2228,2463
LGA18250,14,2482,2496,63,20382,20445,0,491,491,4,682,686,67,21555,21622,0,583,583,81,24620,24701
LGA18350,51,3228,3279,255,11455,11710,22,629,651,19,503,522,296,12587,12883,15,516,531,362,16331,16693
LGA18400,72,2225,2297,333,9873,10206,18,493,511,22,361,383,373,10727,11100,20,536,556,465,13488,13953
LGA18450,506,16144,16650,1278,46160,47438,59,2357,2416,119,2454,2573,1456,50971,52427,106,2581,2687,2068,69696,71764
LGA18500,10,2159,2169,40,16065,16105,4,502,506,3,1049,1052,47,17616,17663,4,626,630,61,20401,20462
LGA18550,563,13381,13944,1637,34488,36125,62,1588,1650,158,1788,1946,1857,37864,39721,114,2130,2244,2534,53375,55909
LGA18710,34,857,891,76,3662,3738,8,170,178,8,217,225,92,4049,4141,12,135,147,138,5041,5179
LGA18750,63,1399,1462,83,2521,2604,5,140,145,15,164,179,103,2825,2928,8,175,183,174,4399,4573
LGA19399,9,72,81,8,277,285,0,8,8,0,5,5,8,290,298,0,11,11,17,373,390
LGA19499,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LGA20110,10,1220,1230,29,2969,2998,0,191,191,3,174,177,32,3334,3366,3,139,142,45,4693,4738
LGA20260,11,1324,1335,26,2464,2490,0,186,186,0,170,170,26,2820,2846,5,146,151,42,4290,4332
LGA20570,139,8364,8503,301,22997,23298,19,1120,1139,52,1490,1542,372,25607,25979,33,1230,1263,544,35201,35745
LGA20660,75,7719,7794,201,31861,32062,7,1226,1233,21,1251,1272,229,34338,34567,22,1316,1338,326,43373,43699
LGA20740,31,3248,3279,58,7021,7079,3,548,551,8,533,541,69,8102,8171,8,400,408,108,11750,11858
LGA20830,51,3568,3619,110,10329,10439,0,724,724,13,626,639,123,11679,11802,15,544,559,189,15791,15980
LGA20910,15,4688,4703,59,25707,25766,3,934,937,3,934,937,65,27575,27640,6,923,929,86,33186,33272
LGA21010,28,1619,1647,45,3258,3303,0,205,205,0,201,201,45,3664,3709,6,180,186,79,5463,5542
LGA21110,16,6809,6825,100,45524,45624,7,1503,1510,5,1859,1864,112,48886,48998,13,1394,1407,141,57089,57230
LGA21180,80,14174,14254,194,37807,38001,9,1478,1487,24,2051,2075,227,41336,41563,28,2925,2953,335,58435,58770
LGA21270,5,948,953,16,1399,1415,0,79,79,0,60,60,16,1538,1554,0,107,107,21,2593,2614
LGA21370,140,3889,4029,150,8026,8176,13,520,533,28,491,519,191,9037,9228,36,503,539,367,13429,13796
LGA21450,37,4152,4189,156,18066,18222,7,832,839,15,995,1010,178,19893,20071,12,766,778,227,24811,25038
LGA21610,125,11792,11917,434,60011,60445,18,2311,2329,34,2748,2782,486,65070,65556,47,2951,2998,658,79813,80471
LGA21670,21,1961,1982,44,2631,2675,0,214,214,7,144,151,51,2989,3040,8,219,227,80,5169,5249
LGA21750,21,2308,2329,57,4540,4597,3,301,304,13,311,324,73,5152,5225,8,294,302,102,7754,7856
LGA21830,11,1871,1882,35,3612,3647,5,214,219,4,231,235,44,4057,4101,4,207,211,59,6135,6194
LGA21890,150,12086,12236,334,33642,33976,9,1193,1202,37,2135,2172,380,36970,37350,52,1987,2039,582,51043,51625
LGA22110,255,4516,4771,218,9911,10129,8,704,712,37,567,604,263,11182,11445,47,597,644,565,16295,16860
LGA22170,78,8763,8841,348,33194,33542,13,1348,1361,32,1900,1932,393,36442,36835,32,1697,1729,503,46902,47405
LGA22250,30,1404,1434,33,2181,2214,4,184,188,3,137,140,40,2502,2542,5,181,186,75,4087,4162
LGA22310,20,8053,8073,96,37189,37285,6,1247,1253,14,1701,1715,116,40137,40253,6,1564,1570,142,49754,49896
LGA22410,57,2087,2144,108,4566,4674,6,286,292,14,292,306,128,5144,5272,10,288,298,195,7519,7714
LGA22490,12,1052,1064,45,4542,4587,0,295,295,4,177,181,49,5014,5063,7,166,173,68,6232,6300
LGA22620,175,8884,9059,400,24561,24961,17,1421,1438,45,1389,1434,462,27371,27833,42,1285,1327,679,37540,38219
LGA22670,72,11462,11534,116,28478,28594,9,1258,1267,14,1614,1628,139,31350,31489,32,2435,2467,243,45247,45490
LGA22750,210,18153,18363,521,52848,53369,33,2592,2625,72,3296,3368,626,58736,59362,45,2757,2802,881,79646,80527
LGA22830,308,5488,5796,415,13076,13491,17,705,722,73,794,867,505,14575,15080,68,867,935,881,20930,21811
