region_id,Neg_Nil_inc_hh_with_Ind_psns,Neg_Nil_inc_Other_households,Neg_Nil_income_Tot_hhlds,HI1_199_Hhd_with_Indig_psns,HI1_199_Other_households,HI1_199_Tot_hhlds,HI200_299_Hhd_with_Indig_psns,HI200_299_Other_households,HI200_299_Tot_hhlds,HI300_399_Hhd_with_Indig_psns,HI300_399_Other_households,HI300_399_Tot_hhlds,HI400_599_Hhd_with_Indig_psns,HI400_599_Other_households,HI400_599_Tot_hhlds,HI600_799_Hhd_with_Indig_psns,HI600_799_Other_households,HI600_799_Tot_hhlds,HI800_999_Hhd_with_Indig_psns,HI800_999_Other_households,HI800_999_Tot_hhlds,HI1000_1249_Hh_with_Indig_psn,HI1000_1249_Other_households,HI1000_1249_Tot_hhlds,HI1250_1499_Hh_with_Indig_psn,HI1250_1499_Other_households,HI1250_1499_Tot_hhlds,HI1500_1999_Hh_with_Indig_psn,HI1500_1999_Other_households,HI1500_1999_Tot_hhlds,HI2000_2499_Hh_with_Indig_psn,HI2000_2499_Other_households,HI2000_2499_Tot_hhlds,HI2500_2999_Hh_with_Indig_psn,HI2500_2999_Other_households,HI2500_2999_Tot_hhlds,HI3000_more_Hh_with_Indig_psn,HI3000_more_Other_households,HI3000_more_Tot_hhlds,Part_inc_st_Hh_with_Indig_psn,Partial_inc_stated_Other_hhds,Partial_inc_stated_Tot_hhlds,All_inc_ns_Hh_with_Ind_psns,All_income_ns_Other_household,All_inc_NS_Tot_hhlds,Tot_Household_with_Indig_psns,Tot_Other_households,Tot_Tot_hhlds
LGA58760,14,503,517,17,534,551,31,833,864,34,1923,1957,81,3431,3512,76,3264,3340,60,3250,3310,53,3735,3788,55,3741,3796,86,6455,6541,71,5209,5280,51,4676,4727,72,5391,5463,122,5119,5241,36,954,990,859,49018,49877
LGA58820,3,16,19,0,30,30,5,36,41,4,99,103,9,145,154,9,108,117,0,104,104,0,56,56,3,92,95,3,153,156,0,86,86,3,107,110,0,104,104,4,128,132,0,33,33,43,1297,1340
LGA58890,0,15,15,0,11,11,0,12,12,0,20,20,0,38,38,4,41,45,0,47,47,0,29,29,0,20,20,0,24,24,0,13,13,0,21,21,0,18,18,0,21,21,0,17,17,4,347,351
LGA59030,3,0,3,0,0,0,0,3,3,0,8,8,0,10,10,0,4,4,0,5,5,0,5,5,0,5,5,0,10,10,0,4,4,0,11,11,0,9,9,0,18,18,0,3,3,3,95,98
LGA59100,0,11,11,0,8,8,0,12,12,0,29,29,0,29,29,0,36,36,0,28,28,0,15,15,0,22,22,0,28,28,3,11,14,0,6,6,0,6,6,0,25,25,3,19,22,6,285,291
LGA59170,0,5,5,0,3,3,0,13,13,0,17,17,0,31,31,0,36,36,3,43,46,3,19,22,0,36,36,3,42,45,0,31,31,0,16,16,0,20,20,0,28,28,0,20,20,9,360,369
LGA59250,0,0,0,0,0,0,5,0,5,0,0,0,5,4,9,3,4,7,3,11,14,6,7,13,5,4,9,7,9,16,6,4,10,4,5,9,0,6,6,3,6,9,0,4,4,47,64,111
LGA59310,5,6,11,0,7,7,0,13,13,3,39,42,3,45,48,4,36,40,0,48,48,4,46,50,4,57,61,5,73,78,3,38,41,0,27,27,0,21,21,5,54,59,4,12,16,40,522,562
LGA59320,0,7,7,0,3,3,0,3,3,0,11,11,0,16,16,3,21,24,0,11,11,0,13,13,3,11,14,0,14,14,0,7,7,0,7,7,0,5,5,0,17,17,0,5,5,6,151,157
LGA59330,3,3,6,0,9,9,0,4,4,0,23,23,0,35,35,0,29,29,3,22,25,0,18,18,0,10,10,0,27,27,0,5,5,0,7,7,0,3,3,0,13,13,0,6,6,6,214,220
LGA59340,7,19,26,12,12,24,33,26,59,33,38,71,72,55,127,61,68,129,50,87,137,49,126,175,39,118,157,61,232,293,36,166,202,21,159,180,31,265,296,96,211,307,33,48,81,634,1630,2264
LGA59350,0,0,0,0,0,0,0,4,4,0,4,4,0,0,0,4,0,4,4,0,4,3,6,9,0,4,4,0,0,0,0,0,0,3,3,6,0,4,4,6,5,11,4,0,4,24,30,54
LGA59360,0,9,9,3,11,14,0,7,7,0,35,35,3,41,44,0,36,36,0,36,36,0,35,35,0,31,31,0,55,55,6,18,24,0,47,47,0,29,29,0,60,60,0,15,15,12,465,477
LGA59370,5,28,33,5,19,24,0,46,46,4,96,100,4,151,155,5,144,149,6,101,107,3,85,88,3,89,92,4,125,129,0,70,70,4,72,76,0,59,59,9,143,152,0,48,48,52,1276,1328
LGA59399,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LGA59499,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LGA60210,0,45,45,4,69,73,4,163,167,8,308,316,19,434,453,23,316,339,7,264,271,9,181,190,4,118,122,5,148,153,3,71,74,0,50,50,4,35,39,9,186,195,3,94,97,102,2482,2584
LGA60410,5,33,38,9,68,77,24,195,219,46,366,412,76,580,656,63,498,561,53,494,547,51,451,502,36,389,425,47,562,609,22,367,389,13,176,189,11,151,162,41,342,383,19,157,176,516,4829,5345
LGA60610,4,81,85,6,128,134,18,325,343,38,716,754,96,958,1054,76,804,880,48,662,710,49,582,631,39,515,554,62,706,768,28,396,424,20,268,288,14,234,248,34,505,539,12,194,206,544,7074,7618
LGA60810,5,83,88,14,135,149,28,303,331,52,769,821,69,1071,1140,64,832,896,41,710,751,47,616,663,52,530,582,89,758,847,45,447,492,26,278,304,14,284,298,59,613,672,17,234,251,622,7663,8285
LGA61010,0,11,11,0,29,29,0,33,33,6,97,103,11,134,145,12,117,129,4,90,94,4,65,69,3,50,53,4,75,79,0,17,17,0,16,16,0,16,16,4,69,73,0,41,41,48,860,908
LGA61210,6,25,31,11,32,43,21,79,100,23,223,246,60,321,381,52,301,353,33,242,275,35,255,290,34,222,256,49,301,350,22,144,166,9,87,96,16,74,90,33,177,210,10,73,83,414,2556,2970
LGA61410,5,127,132,11,217,228,18,502,520,53,1381,1434,71,2003,2074,78,1892,1970,64,1660,1724,63,1701,1764,66,1438,1504,75,2170,2245,59,1701,1760,24,1106,1130,41,1386,1427,43,1427,1470,31,430,461,702,19141,19843
LGA61510,0,34,34,4,57,61,8,138,146,15,348,363,28,489,517,16,392,408,18,312,330,18,332,350,17,242,259,15,366,381,4,232,236,4,97,101,3,101,104,20,249,269,9,106,115,179,3495,3674
LGA61610,8,72,80,19,163,182,30,367,397,53,990,1043,82,1344,1426,89,1031,1120,54,892,946,83,751,834,54,647,701,52,878,930,37,539,576,14,274,288,13,290,303,32,614,646,22,269,291,642,9121,9763
LGA61810,0,24,24,0,62,62,4,112,116,14,317,331,15,436,451,10,323,333,8,259,267,9,213,222,10,186,196,4,190,194,7,112,119,3,52,55,0,62,62,10,174,184,3,78,81,97,2600,2697
LGA62010,4,4,8,0,11,11,3,10,13,10,27,37,11,29,40,10,32,42,5,35,40,9,20,29,3,16,19,5,28,33,5,15,20,0,15,15,0,4,4,4,20,24,4,5,9,73,271,344
LGA62210,0,21,21,4,69,73,11,127,138,15,262,277,21,353,374,20,276,296,19,208,227,11,203,214,3,157,160,5,235,240,3,155,158,0,87,87,0,67,67,17,173,190,3,80,83,132,2473,2605
LGA62410,0,25,25,5,31,36,0,54,54,6,170,176,16,282,298,10,224,234,12,179,191,11,119,130,10,109,119,4,144,148,4,46,50,0,39,39,0,29,29,9,118,127,0,61,61,87,1630,1717
LGA62610,9,152,161,18,232,250,45,734,779,73,1889,1962,114,2374,2488,117,1933,2050,98,1649,1747,103,1577,1680,56,1281,1337,108,1677,1785,53,1188,1241,41,550,591,17,511,528,61,1060,1121,36,538,574,949,17345,18294
LGA62810,0,266,266,7,332,339,13,615,628,17,1197,1214,25,1732,1757,33,1476,1509,31,1486,1517,35,1526,1561,26,1365,1391,35,2155,2190,32,1540,1572,28,1576,1604,32,2128,2160,29,1555,1584,10,311,321,353,19260,19613
LGA63010,8,54,62,6,110,116,12,197,209,28,498,526,61,722,783,71,654,725,59,529,588,74,459,533,49,387,436,65,519,584,45,277,322,23,167,190,16,143,159,46,371,417,14,148,162,577,5235,5812
LGA63210,0,23,23,0,58,58,4,79,83,10,201,211,13,307,320,12,261,273,12,198,210,15,166,181,5,161,166,6,199,205,6,114,120,7,75,82,3,40,43,12,190,202,11,56,67,116,2128,2244
LGA63410,0,12,12,0,7,7,0,24,24,0,44,44,5,88,93,0,68,68,4,59,63,3,51,54,0,50,50,0,74,74,3,48,51,0,35,35,0,22,22,3,50,53,0,27,27,18,659,677
LGA63610,6,77,83,9,130,139,9,261,270,15,751,766,55,1212,1267,53,1163,1216,32,1061,1093,49,1027,1076,50,916,966,58,1544,1602,60,1141,1201,16,778,794,29,961,990,38,935,973,10,191,201,489,12148,12637
LGA63810,0,38,38,5,66,71,7,114,121,8,318,326,29,515,544,27,346,373,19,353,372,18,310,328,19,288,307,39,367,406,13,228,241,5,145,150,4,125,129,9,280,289,8,79,87,210,3572,3782
LGA64010,5,230,235,18,408,426,55,1063,1118,83,2294,2377,160,3184,3344,134,2684,2818,90,2183,2273,93,2223,2316,86,1791,1877,92,2463,2555,55,1560,1615,25,1001,1026,22,1089,1111,60,1593,1653,37,653,690,1015,24419,25434
LGA64210,0,76,76,5,115,120,9,250,259,13,608,621,33,984,1017,33,739,772,23,673,696,14,601,615,20,505,525,24,740,764,15,537,552,5,285,290,7,277,284,20,506,526,3,204,207,224,7100,7324
LGA64610,3,48,51,4,83,87,8,159,167,11,392,403,22,640,662,11,498,509,11,458,469,22,386,408,17,375,392,11,485,496,11,298,309,0,159,159,7,142,149,7,335,342,6,139,145,151,4597,4748
LGA64810,3,48,51,6,69,75,9,154,163,10,431,441,34,620,654,27,544,571,23,477,500,21,458,479,19,395,414,24,573,597,17,328,345,7,186,193,4,175,179,24,336,360,6,105,111,234,4899,5133
LGA65010,0,21,21,0,42,42,0,83,83,5,213,218,16,273,289,16,249,265,12,212,224,11,214,225,14,174,188,5,184,189,6,134,140,7,48,55,9,57,66,15,158,173,6,74,80,122,2136,2258
LGA65210,0,12,12,0,33,33,4,46,50,7,91,98,17,152,169,9,135,144,8,95,103,4,70,74,3,44,47,3,62,65,3,20,23,0,15,15,0,14,14,3,64,67,0,37,37,61,890,951
LGA65410,4,49,53,15,95,110,14,238,252,20,546,566,46,664,710,42,547,589,33,438,471,45,381,426,32,344,376,45,453,498,21,312,333,10,197,207,15,157,172,34,417,451,17,146,163,393,4984,5377
LGA65610,0,21,21,0,34,34,0,81,81,4,213,217,20,191,211,15,174,189,13,114,127,12,107,119,8,126,134,18,230,248,13,97,110,10,144,154,10,68,78,12,141,153,3,52,55,138,1793,1931
LGA65810,0,70,70,3,117,120,5,234,239,13,594,607,34,921,955,17,827,844,20,791,811,19,650,669,21,599,620,20,925,945,16,613,629,16,442,458,11,472,483,9,623,632,7,169,176,211,8047,8258
