region_id,Med_ag_pe_In_pe_h_I_p,Me_ag_ps_N_In_ps_ot_hh,Med_age_psns_Tot,Me_p_in_wk_In_ps_hh_In_p,Me_ps_in_wk_No_In_ps_ot_hh,Med_psnl_inc_wk_Tot,Me_hh_in_wk_In_ps_hh_In_ps,Me_hh_in_wk_No_In_ps_ot_hh,Med_hhd_inc_wk_Tot,Me_mo_re_mt_In_ps_hh_In_ps,Me_mo_re_mt_No_In_ps_ot_hh,Med_mort_repay_mth_Tot,Me_re_wk_In_ps_hh_Ind_psns,Me_re_wk_No_In_psns_oth_hh,Med_rent_wk_Tot,Av_N_p_pe_be_In_ps_hh_wi_In_p,Av_Nu_ps_pe_be_No_In_ps_ot_hh,Avg_Nu_psns_per_bed_Tot,Av_hh_si_In_ps_hh_wi_Ind_psns,Avg_hh_si_No_Ind_psn_othr_hhd,Avg_household_size_Tot,P_d_n_x_b_In_ps_hh_w_In_p,P_d_n_x_b_No_In_p_oth_hh,P_d_n_x_b_Tot
LGA12600,19,39,36,398,598,578,941,1123,1096,1430,1517,1510,180,200,200,1.2,1.1,1.1,3.3,2.5,2.6,9.5,1.2,2.3
LGA12700,20,45,44,373,488,485,968,1010,1007,1300,1647,1600,205,180,185,1.1,1.1,1.1,3.1,2.5,2.5,6.3,2.1,2.3
LGA12750,21,51,50,317,430,424,744,787,784,1517,1430,1430,185,220,220,1.2,1.1,1.1,3.1,2.2,2.3,8.6,1.7,2.0
LGA12850,21,36,36,372,369,369,988,1022,1022,1686,1800,1800,255,280,280,1.2,1.2,1.2,3.3,3.2,3.2,13.2,11.6,11.7
LGA12900,18,44,41,361,469,460,765,839,831,1100,1153,1127,150,150,150,1.1,1.1,1.1,3.0,2.3,2.4,5.1,1.8,2.1
LGA12950,21,46,44,339,432,417,652,794,775,1300,932,1000,135,110,125,1.2,1.1,1.1,3.0,2.3,2.4,10.8,1.7,2.9
LGA13010,23,48,46,323,398,395,790,730,733,1300,1083,1083,150,155,155,1.3,1.1,1.1,3.1,2.2,2.3,9.3,1.3,1.8
LGA13050,23,51,50,377,426,423,853,803,807,1559,1517,1517,185,160,165,1.2,1.1,1.1,2.8,2.2,2.2,4.5,2.0,2.1
LGA13100,21,42,42,390,536,533,1093,1089,1089,2000,1950,1950,280,280,280,1.2,1.1,1.1,3.1,2.5,2.5,7.6,1.9,2.0
LGA13310,25,41,41,384,519,516,947,981,980,1560,1500,1500,200,185,185,1.1,1.1,1.1,3.0,2.4,2.4,6.9,1.9,2.1
LGA13320,23,53,52,345,397,395,762,728,729,1465,1400,1400,210,220,220,1.2,1.1,1.1,2.9,2.2,2.2,7.5,1.8,2.0
