region_id,Med_age_persns_C2001,Med_age_persns_C2006,Med_age_persns_C2011,Med_mortg_rep_mon_C2001,Med_mortg_rep_mon_C2006,Med_mortg_rep_mon_C2011,Med_person_inc_we_C2001,Med_person_inc_we_C2006,Med_person_inc_we_C2011,Med_rent_weekly_C2001,Med_rent_weekly_C2006,Med_rent_weekly_C2011,Med_Famly_inc_we_C2001,Med_Famly_inc_we_C2006,Med_Famly_inc_we_C2011,Avg_num_p_per_brm_C2001,Avg_num_p_per_brm_C2006,Avg_num_p_per_brm_C2011,Med_tot_hh_inc_wee_C2001,Med_tot_hh_inc_wee_C2006,Med_tot_hh_inc_wee_C2011,Average_hh_size_C2001,Average_hh_size_C2006,Average_hh_size_C2011
LGA14900,30,32,33,1200,1733,2167,400,437,508,160,195,295,1013,1173,1401,1.2,1.1,1.2,931,1091,1296,3.1,3.1,3.2
LGA14920,40,43,43,542,750,1083,290,353,436,77,100,145,681,855,988,1.1,1.1,1.1,562,691,797,2.4,2.4,2.4
LGA14950,38,42,44,645,867,997,324,391,454,55,80,100,764,1036,1069,1.1,1.1,1.1,655,766,857,2.7,2.6,2.5
LGA15050,33,34,36,867,1300,1733,326,425,561,131,180,259,883,1175,1555,1.1,1.1,1.1,736,1028,1290,2.7,2.7,2.7
LGA15150,36,37,37,1800,2500,3033,622,779,978,320,375,520,1655,2263,2649,1.1,1.1,1.1,1268,1664,2208,2.4,2.4,2.5
LGA15200,34,35,36,1350,1950,2485,467,591,767,210,250,370,1140,1465,1964,1.2,1.2,1.2,962,1183,1601,2.4,2.3,2.3
LGA15270,38,41,41,800,1083,1551,301,360,458,110,148,200,750,937,1204,1.1,1.1,1.1,603,721,938,2.6,2.4,2.4
LGA15300,32,35,37,867,1083,1300,387,465,558,100,114,140,871,1097,1253,1.2,1.1,1.1,759,929,1031,2.7,2.7,2.5
LGA15350,38,40,40,2017,2500,3033,773,956,1103,320,341,474,1936,2677,2838,1.1,1.1,1.1,1551,1886,2458,2.3,2.3,2.3
LGA15500,40,44,46,867,1200,1435,332,395,471,125,155,200,776,1019,1043,1.1,1.1,1.1,656,778,850,2.5,2.4,2.3
