region_id,C11_85o_SOL_SE_To,C11_85o_LPE_NS,C11_85o_Tot,C11_Tot_SEO,C11_To_SOL_SE_Vw_w,C11_To_SOL_SE_Nw_Na,C11_To_SOL_SE_P_E_n,C11_Tot_SOL_SE_Tot,C11_Tot_LPE_NS,C11_T_T
LGA44830,0,0,75,2729,120,9,4,133,117,2979
LGA45040,29,24,408,16823,1089,362,36,1487,1192,19502
LGA45090,11,8,205,7216,296,189,15,500,265,7981
LGA45120,0,4,123,4231,60,3,3,66,106,4403
LGA45290,323,52,1240,24429,7287,1380,102,8769,1188,34386
LGA45340,327,163,2785,142252,8888,1059,129,10076,4171,156499
LGA45400,0,0,39,847,18,0,0,18,16,881
LGA45540,0,4,38,1648,31,3,0,34,95,1777
LGA45680,106,59,963,67666,5856,1711,133,7700,3227,78593
LGA45890,732,173,2763,74750,24701,6891,502,32094,5040,111884
LGA46090,10,22,181,12061,532,100,13,645,1504,14210
LGA46300,21,27,339,12894,456,61,9,526,496,13916
LGA46450,29,13,417,15878,670,86,6,762,455,17095
LGA46510,122,16,473,14053,4221,777,68,5066,588,19707
LGA46670,20,12,185,7439,1059,277,30,1366,493,9298
LGA46860,0,3,22,1318,19,3,0,22,72,1412
LGA46970,4,0,4,4457,365,33,3,401,935,5793
LGA47140,353,75,1739,94330,21767,6565,400,28732,4834,127896
LGA47290,0,3,72,1942,63,9,0,72,47,2061
LGA47490,0,0,54,1968,42,0,0,42,110,2120
LGA47630,7,11,164,5975,280,115,9,404,108,6487
LGA47700,272,106,1664,81244,9091,1270,155,10516,2015,93775
LGA47800,4,7,103,4888,173,12,6,191,320,5399
LGA47910,0,4,84,2399,32,7,0,39,24,2462
LGA47980,189,178,1491,28525,5495,952,62,6509,1327,36361
LGA48050,10,48,682,12174,384,19,3,406,705,13285
LGA48130,4,4,190,6082,165,36,0,201,209,6492
LGA48260,31,19,282,5489,1114,149,5,1268,281,7038
LGA48340,14,10,247,10651,255,50,9,314,269,11234
LGA48410,478,143,1886,36460,13342,2602,239,16183,1857,54500
LGA48540,42,30,305,19592,1244,150,21,1415,1150,22157
LGA48640,0,0,40,1207,28,3,6,37,26,1270
LGA48750,7,7,120,4157,82,3,3,88,110,4355
LGA48830,6,14,337,10423,183,19,3,205,239,10867
LGA49399,4,3,25,6040,389,30,27,446,851,7337
LGA50080,49,63,737,29588,1599,190,30,1819,1328,32735
LGA50210,79,74,682,51872,5336,715,108,6159,3037,61068
LGA50250,0,0,10,11463,958,46,11,1015,2407,14885
LGA50280,9,15,186,10083,585,87,4,676,821,11580
