region_id,C11_75_79_Sep_M,C11_75_79_Sep_F,C11_75_79_Div_M,C11_75_79_Div_F,C11_75_79_Wid_M,C11_75_79_Wid_F,C11_75_79_Nvr_marrd_M,C11_75_79_Nvr_marrd_F,C11_75_79_T_M,C11_75_79_T_F,C11_75_79_T_P,C11_80_84_Married_M,C11_80_84_Married_F,C11_80_84_Sep_M,C11_80_84_Sep_F,C11_80_84_Div_M,C11_80_84_Div_F,C11_80_84_Wid_M,C11_80_84_Wid_F,C11_80_84_Nvr_marrd_M,C11_80_84_Nvr_marrd_F,C11_80_84_T_M,C11_80_84_T_F,C11_80_84_T_P,C11_85o_Married_M,C11_85o_Married_F,C11_85o_Seprtd_M,C11_85o_Seprtd_F,C11_85o_Divorce_M,C11_85o_Divorce_F,C11_85o_Wid_M,C11_85o_Wid_F,C11_85o_Nvr_mard_M,C11_85o_Nvr_mard_F,C11_85o_T_M,C11_85o_T_F,C11_85o_T_P,C11_OS_visitrs_Marr_M,C11_OS_visitrs_Marr_F,C11_OS_visitr_Separ_M,C11_OS_visitr_Separ_F,C11_OS_visit_Divorc_M,C11_OS_visit_Divorc_F,C11_OS_visito_Widow_M,C11_OS_visito_Widow_F,C11_OS_vis_Nvr_marr_M,C11_OS_vis_Nvr_marr_F,C11_OS_vis_T_M,C11_OS_vis_T_F,C11_OS_vis_T_P,C11_T_Married_M,C11_T_Married_F,C11_Tot_Sep_M,C11_Tot_Sep_F,C11_Tot_Div_M,C11_Tot_Div_F,C11_Tot_Wid_M,C11_Tot_Wid_F,C11_Tot_nver_marrie_M,C11_Tot_nver_marrie_F,C11_Tot_T_M,C11_Tot_T_F,C11_Tot_T_P
LGA21270,4,0,17,8,11,69,15,0,133,139,272,68,55,3,3,6,3,10,71,17,9,104,141,245,45,14,0,0,4,4,37,119,3,4,89,141,230,3,0,0,0,0,0,0,0,3,0,6,0,6,1377,1347,80,72,202,178,101,375,815,549,2575,2521,5096
LGA21370,22,9,57,44,72,287,23,23,597,689,1286,291,207,0,0,25,14,84,344,17,12,417,577,994,166,85,3,0,11,7,132,465,24,11,336,568,904,13,12,3,0,0,0,0,0,25,18,41,30,71,7350,7423,455,514,1127,1307,483,1644,4433,3712,13848,14600,28448
LGA21450,8,5,45,60,81,233,22,13,637,638,1275,279,189,18,6,33,34,85,309,10,11,425,549,974,159,70,0,5,4,15,127,428,12,9,302,527,829,41,52,3,0,3,3,0,8,31,39,78,102,180,14182,14321,862,1010,1974,2700,533,1763,9671,8788,27222,28582,55804
LGA21610,45,39,107,163,202,948,35,49,1758,2158,3916,838,536,33,18,70,92,300,1034,33,36,1274,1716,2990,455,235,11,13,18,56,330,1281,27,60,841,1645,2486,283,395,5,8,22,25,14,130,130,152,454,710,1164,51066,51422,2482,3453,5769,8509,1598,6422,33547,28528,94462,98334,192796
LGA21670,11,0,34,24,46,101,18,8,287,255,542,128,79,3,3,17,16,42,142,7,5,197,245,442,64,34,0,0,8,13,51,187,8,16,131,250,381,3,0,0,0,0,0,0,0,5,4,8,4,12,2407,2393,204,219,543,580,218,720,1621,1288,4993,5200,10193
LGA21750,7,5,25,16,40,162,15,19,278,357,635,151,104,3,6,7,14,51,196,26,18,238,338,576,89,42,3,0,5,9,67,286,7,14,171,351,522,22,24,0,3,0,0,0,3,26,30,48,60,108,3854,3878,274,284,603,741,250,973,2934,2334,7915,8210,16125
LGA21830,7,4,25,6,31,134,17,7,279,295,574,125,77,0,3,0,8,55,144,18,12,198,244,442,59,34,3,0,3,3,49,216,15,20,129,273,402,18,18,0,0,0,3,0,4,26,36,44,61,105,3396,3371,183,214,454,451,226,762,2078,1575,6337,6373,12710
LGA21890,54,38,100,136,207,1005,128,83,1850,2259,4109,969,569,24,23,74,98,290,1174,107,78,1464,1942,3406,561,283,10,10,38,50,415,1481,61,88,1085,1912,2997,191,243,3,5,10,22,3,44,313,334,520,648,1168,24205,24269,1362,1607,3436,4474,1353,5602,24850,23589,55206,59541,114747
LGA22110,22,11,66,57,109,340,42,22,839,847,1686,366,246,16,4,24,39,123,392,26,15,555,696,1251,217,109,4,0,17,17,175,523,16,16,429,665,1094,20,30,3,3,0,5,0,9,26,38,49,85,134,8818,8774,551,595,1552,1745,652,2046,5183,4340,16756,17500,34256
LGA22170,34,35,153,198,175,668,52,48,1332,1701,3033,662,433,23,16,72,106,237,854,32,41,1026,1450,2476,397,229,10,4,37,62,339,1157,23,40,806,1492,2298,70,75,7,6,7,16,4,25,66,94,154,216,370,22048,22291,1642,2069,4489,6478,1272,4463,19342,17179,48793,52480,101273
