region_id,C11_OTT_DS_FUA,C11_OTT_DS_OD,C11_OTT_DS_NS_,C11_OTT_Tot,C11_TT_NS_DS_Sep_house,C11_TT_NS_DS_SemiDRTHT,C11_TT_NS_DS_FUA,C11_TT_NS_DS_OD,C11_TT_NS_DS_NS_,C11_TT_NS_T,C11_Tot_DS_Sep_house,C11_Tot_DS_SemiDRTHT,C11_Tot_DS_FUA,C11_Tot_DS_OD,C11_Tot_DS_NS_,C11_T_T
LGA52520,0,0,0,3,15,0,0,4,0,19,484,3,0,16,3,506
LGA52590,3,4,0,22,129,0,0,23,0,152,1195,19,24,137,12,1387
LGA52660,0,0,0,85,170,9,0,53,0,232,4104,216,27,116,0,4463
LGA52730,0,3,0,42,80,8,0,13,0,101,2015,96,8,62,0,2181
LGA52800,3,44,18,82,215,24,7,208,16,470,1683,88,76,737,141,2725
LGA52870,0,0,0,11,95,0,3,7,0,105,1987,6,35,22,3,2053
LGA52940,0,0,0,5,10,0,0,0,0,10,278,0,9,0,3,290
LGA53010,0,0,0,3,4,4,0,0,0,8,254,4,0,6,0,264
LGA53080,0,0,3,8,36,3,0,26,3,68,350,10,3,116,34,513
LGA53150,0,0,0,4,83,37,50,0,0,170,1923,453,366,4,3,2749
LGA53220,4,9,3,50,270,26,33,36,7,372,1764,107,162,161,98,2292
LGA53290,0,4,0,49,287,17,29,39,4,376,4301,366,255,248,18,5188
LGA53360,0,13,4,24,69,6,8,57,0,140,776,65,85,996,17,1939
LGA53430,10,0,3,100,375,197,244,102,0,918,7322,2499,1750,309,9,11889
LGA53520,11,10,0,79,570,88,91,98,3,850,11686,776,858,537,26,13883
LGA53570,0,3,0,19,137,3,3,9,3,155,1755,21,41,56,12,1885
LGA53640,0,0,3,7,33,0,0,0,0,33,485,12,6,10,3,516
LGA53710,0,0,0,5,21,0,0,0,0,21,404,0,0,12,0,416
LGA53780,88,0,4,451,2022,133,167,6,0,2328,34329,1823,1479,162,18,37811
