region_id,C11_AI_NS_R100_149,C11_AI_NS_R150_199,C11_AI_NS_R200_224,C11_AI_NS_R225_274,C11_AI_NS_R275_349,C11_AI_NS_R350_449,C11_AI_NS_R450_549,C11_AI_NS_R550_649,C11_AI_NS_R650m,C11_AI_NS_R_NS,C11_AI_NS_R_Tot,C11_Tot_R0_74,C11_Tot_R75_99,C11_Tot_R100_149,C11_Tot_R150_199,C11_Tot_R200_224,C11_Tot_R225_274,C11_Tot_R275_349,C11_Tot_R350_449,C11_Tot_R450_549,C11_Tot_R550_649,C11_Tot_R650m,C11_Tot_R_NS,C11_Tot_R_Tot
LGA51400,3,0,0,3,3,0,0,0,0,3,15,69,46,87,58,45,92,247,332,37,8,11,34,1066
LGA51470,0,0,0,0,0,0,0,0,0,0,0,16,12,15,9,3,3,0,0,0,0,6,3,67
LGA51540,6,6,4,0,0,0,0,0,0,12,48,131,97,174,160,62,84,88,34,27,3,56,80,996
LGA51610,0,0,0,0,0,0,0,0,0,0,0,25,0,13,15,4,4,6,7,3,0,0,7,84
LGA51680,0,0,0,0,0,0,0,0,0,3,8,44,7,21,9,6,9,31,31,15,3,0,12,188
LGA51750,0,3,0,0,3,0,4,0,4,3,17,75,10,34,58,24,60,141,214,149,87,185,29,1066
LGA51820,25,10,3,11,20,18,5,3,5,54,184,437,370,468,415,289,565,1457,2464,638,108,131,283,7625
LGA51890,3,4,0,4,7,3,0,0,0,11,36,80,63,84,115,77,141,84,45,11,3,6,28,737
LGA51960,3,3,3,0,0,0,0,0,0,3,12,61,29,70,108,81,97,44,0,0,0,6,21,517
LGA52030,0,0,0,0,0,3,0,0,0,5,12,45,7,14,13,26,11,3,3,0,3,0,14,139
LGA52100,0,0,0,0,0,0,0,0,0,0,3,35,21,28,23,3,3,0,0,3,0,4,3,123
LGA52170,0,0,0,0,0,0,5,4,7,3,19,58,21,18,9,23,56,90,141,145,90,244,30,925
LGA52240,0,0,0,0,0,0,0,0,0,0,3,53,21,25,14,0,0,3,0,0,0,0,18,134
LGA52310,3,0,0,0,0,0,0,0,0,3,6,22,0,7,5,0,10,0,0,0,0,0,9,53
LGA52380,4,0,0,0,0,0,0,0,0,0,4,17,0,10,0,0,3,0,0,0,0,0,7,37
LGA52450,0,0,0,3,0,0,0,0,0,0,6,36,12,25,26,7,12,0,4,0,0,0,15,137
LGA52520,0,0,0,0,0,0,0,0,0,0,6,42,15,35,9,12,6,9,3,0,0,0,15,146
LGA52590,0,3,0,0,3,0,0,0,0,0,12,91,12,31,46,48,45,56,21,0,0,3,36,389
