region_id,C11_All_inc_ns_CF_1Ch,C11_All_inc_ns_CF_2C,C11_All_inc_ns_CF_3C,C11_All_inc_ns_CF_4mC,C11_All_inc_ns_CF_T,C11_Tot_CF_1C,C11_Tot_CF_2C,C11_Tot_CF_3C,C11_Tot_CF_4mC,C11_Tot_CF_T
LGA34770,83,107,42,20,252,4952,5738,2442,852,13984
LGA34800,3,0,0,0,3,39,27,15,4,85
LGA34830,0,0,0,0,0,8,5,0,6,19
LGA34860,13,15,6,4,38,511,552,289,121,1473
LGA35010,215,221,107,52,595,16149,19915,7979,3089,47132
LGA35250,0,0,0,0,0,27,26,18,35,106
LGA35300,11,21,9,8,49,780,853,394,190,2217
LGA35600,5,5,0,0,10,181,206,88,36,511
LGA35670,0,0,0,0,0,25,25,14,21,85
LGA35760,14,5,0,4,23,373,347,179,81,980
LGA35780,0,3,0,3,6,76,54,39,70,239
LGA35790,0,0,0,0,0,54,42,32,61,189
LGA35800,0,0,0,0,0,72,48,28,23,171
LGA36070,0,0,0,0,0,38,8,13,6,65
LGA36150,3,0,3,0,6,43,37,16,9,105
LGA36250,84,89,39,9,221,6185,7932,3024,906,18047
LGA36300,3,3,0,0,6,37,31,20,7,95
LGA36360,75,64,31,28,198,4299,4647,2020,866,11832
LGA36510,22,30,9,7,68,1430,1607,770,341,4148
LGA36580,14,25,11,3,53,882,906,432,185,2405
LGA36630,30,21,22,8,81,1040,1152,591,301,3084
LGA36660,24,29,12,10,75,1234,1294,635,346,3509
LGA36710,162,191,67,17,437,11880,14342,5257,1695,33174
LGA36810,32,42,17,13,104,1473,1631,734,377,4215
LGA36910,79,88,40,21,228,5722,6446,3123,1400,16691
LGA36950,4,6,0,5,15,101,92,60,79,332
LGA36960,0,3,0,0,3,136,110,100,103,449
LGA37010,105,101,42,25,273,7323,7826,3301,1275,19725
LGA37300,0,3,3,3,9,135,163,72,40,410
LGA37310,24,28,10,4,66,1142,1303,697,339,3481
LGA37340,32,17,13,6,68,1167,1206,474,146,2993
LGA37400,3,3,4,0,10,54,46,24,16,140
LGA37550,3,0,0,0,3,22,11,18,23,74
LGA37570,0,0,0,0,0,21,12,0,3,36
LGA37600,0,0,0,0,0,52,41,30,73,196
LGA39399,0,0,0,0,0,0,0,0,0,0
LGA40070,3,0,3,0,6,417,231,59,17,724
LGA40120,11,33,7,0,51,1809,2444,910,277,5440
LGA40220,7,12,14,3,36,777,967,413,150,2307
LGA40250,6,0,3,0,9,99,64,51,23,237
LGA40310,7,9,4,4,24,949,1197,475,142,2763
LGA40430,0,0,3,0,3,70,79,47,16,212
LGA40520,7,4,3,3,17,401,411,186,66,1064
LGA40700,16,11,9,0,36,1656,2358,868,193,5075
LGA40910,28,31,8,5,72,2193,2740,869,201,6003
LGA41010,4,3,0,0,7,120,129,65,34,348
LGA41060,47,47,24,11,129,4426,5213,1572,430,11641
LGA41140,4,3,0,0,7,291,383,193,57,924
LGA41190,0,0,0,0,0,52,74,45,14,185
LGA41330,3,0,3,0,6,53,46,16,12,127
LGA41560,11,3,6,0,20,430,473,193,66,1162
LGA41750,0,0,3,0,3,54,35,26,9,124
LGA41830,3,0,0,0,3,52,60,22,18,152
LGA41960,0,0,3,0,3,49,43,30,8,130
LGA42030,10,14,10,0,34,849,950,324,112,2235
LGA42110,0,4,0,0,4,143,155,83,31,412
LGA42250,8,8,3,0,19,314,455,206,57,1032
LGA42600,12,5,4,4,25,1307,1429,518,93,3347
LGA42750,0,3,3,0,6,167,161,69,20,417
LGA43080,3,0,0,0,3,43,35,31,9,118
LGA43220,0,0,0,0,0,46,50,30,3,129
LGA43360,4,0,0,0,4,86,89,33,10,218
LGA43650,6,11,0,3,20,591,887,372,111,1961
LGA43710,0,4,0,6,10,181,245,121,48,595
LGA43790,6,8,3,0,17,411,490,224,64,1189
LGA43920,7,8,3,0,18,396,478,181,66,1121
LGA44000,0,0,0,0,0,0,3,3,0,6
LGA44060,24,41,6,6,77,3721,3958,1285,339,9303
LGA44210,5,5,0,0,10,277,279,127,40,723
LGA44340,20,31,8,3,62,2790,3736,1233,314,8073
LGA44550,13,7,4,6,30,1237,1741,707,222,3907
LGA44620,12,6,3,7,28,929,1068,473,150,2620
LGA44830,0,6,0,0,6,94,111,54,20,279
LGA45040,10,15,5,0,30,704,777,364,125,1970
LGA45090,10,9,0,0,19,336,409,158,38,941
LGA45120,3,0,0,0,3,161,174,97,41,473
LGA45290,9,13,6,0,28,1283,1527,466,94,3370
LGA45340,70,84,23,12,189,6979,8531,2870,943,19323
LGA45400,0,0,0,0,0,27,31,15,9,82
LGA45540,0,0,3,0,3,44,42,18,9,113
LGA45680,51,59,23,20,153,3118,3253,1428,748,8547
LGA45890,66,54,23,15,158,4712,4805,1507,552,11576
LGA46090,4,7,5,3,19,515,533,201,84,1333
LGA46300,7,3,6,3,19,508,598,265,67,1438
LGA46450,6,9,4,4,23,599,674,324,137,1734
LGA46510,10,20,0,3,33,883,1142,345,78,2448
LGA46670,5,10,3,3,21,329,384,189,52,954
LGA46860,0,0,0,3,3,33,60,30,9,132
LGA46970,0,4,0,0,4,200,262,126,23,611
LGA47140,78,69,34,27,208,5825,6109,2284,979,15197
LGA47290,0,3,0,0,3,73,100,43,12,228
LGA47490,0,3,0,0,3,75,90,47,12,224
LGA47630,3,7,0,3,13,233,311,177,48,769
LGA47700,39,56,12,7,114,4490,5632,1798,482,12402
LGA47800,5,3,3,0,11,193,218,116,40,567
LGA47910,0,3,0,0,3,88,99,59,11,257
LGA47980,11,17,7,0,35,1458,1919,620,144,4141
LGA48050,4,3,3,0,10,350,415,178,43,986
LGA48130,3,10,3,3,19,250,269,118,70,707
LGA48260,4,3,0,3,10,263,352,129,29,773
LGA48340,8,5,4,0,17,433,491,266,73,1263
LGA48410,21,28,0,8,57,2219,2437,713,207,5576
LGA48540,20,14,11,0,45,875,894,336,129,2234
LGA48640,3,0,0,0,3,59,62,26,14,161
LGA48750,0,7,0,0,7,137,172,59,9,377
