region_id,C11_All_in_ns_1PF_1C,C11_All_in_ns_1PF_2C,C11_All_in_ns_1PF_3C,C11_All_in_ns_1_pa_fa_4m_c,C11_All_in_ns_1_pa_fa_w_To,C11_Tot_1PF_1C,C11_Tot_1PF_2C,C11_Tot_1PF_3C,C11_Tot_1_pa_fa_4mor_ch,C11_Tot_T
LGA44550,7,7,4,3,21,650,415,117,33,1215
LGA44620,24,12,4,3,43,739,424,125,61,1349
LGA44830,7,0,0,0,7,44,11,9,4,68
LGA45040,16,9,4,9,38,515,282,83,69,949
LGA45090,6,0,0,0,6,139,56,27,5,227
LGA45120,0,0,0,0,0,69,37,15,3,124
LGA45290,21,7,0,3,31,856,339,79,19,1293
LGA45340,86,51,18,7,162,4427,2455,788,267,7937
LGA45400,0,0,0,0,0,18,9,0,0,27
LGA45540,0,0,0,0,0,53,28,12,6,99
LGA45680,102,66,30,23,221,2817,1592,665,342,5416
LGA45890,101,56,20,15,192,3511,1718,566,256,6051
LGA46090,12,8,4,5,29,365,189,93,41,688
LGA46300,14,5,6,0,25,403,200,58,38,699
LGA46450,16,4,3,3,26,462,242,107,48,859
LGA46510,10,3,0,0,13,439,175,52,20,686
LGA46670,4,9,0,0,13,193,127,44,17,381
LGA46860,4,0,0,0,4,20,8,3,0,31
LGA46970,0,0,0,0,0,38,15,7,3,63
LGA47140,92,62,28,21,203,3856,2201,756,342,7155
LGA47290,0,0,0,0,0,34,13,9,0,56
LGA47490,3,0,0,0,3,32,10,6,6,54
LGA47630,3,3,3,0,9,98,51,21,16,186
LGA47700,44,21,4,3,72,2288,1286,434,101,4109
LGA47800,0,3,0,0,3,109,54,13,9,185
LGA47910,0,3,0,0,3,39,15,7,6,67
LGA47980,12,0,0,0,12,730,321,91,12,1154
LGA48050,10,3,0,3,16,278,119,56,24,477
LGA48130,7,0,3,0,10,131,71,35,15,252
LGA48260,5,0,0,0,5,124,57,12,7,200
LGA48340,9,0,4,0,13,259,114,50,23,446
LGA48410,18,3,4,3,28,1367,576,143,46,2132
LGA48540,33,8,6,3,50,687,322,124,71,1204
LGA48640,0,0,0,0,0,9,6,3,0,18
LGA48750,5,0,0,0,5,98,34,18,9,159
LGA48830,6,0,3,3,12,183,93,29,20,325
LGA49399,10,3,4,3,20,64,32,15,6,117
LGA50080,20,7,0,7,34,734,419,122,58,1333
LGA50210,49,25,10,7,91,1676,922,318,148,3064
LGA50250,4,3,0,3,10,74,45,18,12,149
LGA50280,5,4,0,0,9,224,144,43,3,414
LGA50350,13,5,0,0,18,430,215,51,25,721
LGA50420,51,10,3,4,68,1568,662,185,66,2481
LGA50490,27,14,15,5,61,950,403,141,80,1574
LGA50560,0,0,0,0,0,29,10,3,0,42
LGA50630,0,0,0,3,3,27,12,0,9,48
LGA50770,0,0,0,0,0,21,10,6,3,40
LGA50840,0,3,5,0,8,73,53,22,3,151
LGA50910,0,0,0,0,0,9,9,0,0,18
LGA50980,18,13,0,9,40,332,210,84,50,676
LGA51080,3,0,3,0,6,18,6,12,6,42
LGA51120,0,0,0,0,0,21,0,0,3,24
LGA51190,24,12,6,0,42,886,443,166,53,1548
LGA51260,16,9,0,0,25,624,371,120,38,1153
LGA51310,4,0,0,0,4,319,190,63,13,585
LGA51330,32,16,10,8,66,1773,913,316,89,3091
LGA51400,5,3,0,0,8,238,181,58,19,496
LGA51470,0,0,0,0,0,7,3,3,0,13
LGA51540,12,6,3,4,25,122,58,31,23,234
LGA51610,0,0,0,0,0,12,6,6,3,27
LGA51680,4,0,0,0,4,49,33,20,4,106
LGA51750,3,0,0,0,3,180,97,27,6,310
LGA51820,59,21,15,3,98,2076,1121,355,143,3695
LGA51890,10,8,0,0,18,188,109,31,25,353
LGA51960,4,0,0,5,9,77,34,27,9,147
LGA52030,3,0,0,0,3,18,3,3,3,27
LGA52100,0,0,0,0,0,13,4,6,3,26
LGA52170,0,0,0,0,0,114,50,25,0,189
LGA52240,0,0,0,0,0,19,10,9,0,38
LGA52310,0,0,0,0,0,19,0,0,0,19
LGA52380,0,3,0,0,3,3,6,3,0,12
LGA52450,0,0,0,0,0,24,7,6,0,37
LGA52520,0,0,0,0,0,21,3,3,3,30
LGA52590,0,0,0,0,0,41,25,9,6,81
LGA52660,4,0,0,0,4,218,161,57,9,445
LGA52730,3,0,0,0,3,110,75,29,0,214
LGA52800,3,8,3,3,17,172,104,64,43,383
LGA52870,0,3,0,0,3,100,51,16,4,171
LGA52940,0,0,0,0,0,8,5,0,3,16
LGA53010,0,0,0,0,0,12,0,0,0,12
LGA53080,3,3,3,0,9,28,12,7,3,50
LGA53150,3,0,0,0,3,129,52,21,9,211
LGA53220,3,5,3,3,14,87,43,17,18,165
LGA53290,12,5,0,0,17,274,156,33,35,498
LGA53360,4,0,0,0,4,44,12,3,3,62
LGA53430,12,5,4,0,21,727,330,83,28,1168
LGA53520,29,22,11,13,75,833,527,199,100,1659
LGA53570,0,0,0,0,0,58,37,15,9,119
LGA53640,0,0,0,0,0,17,12,8,0,37
LGA53710,3,0,0,0,3,6,12,0,9,27
LGA53780,68,40,17,13,138,2546,1408,511,225,4690
LGA53920,3,0,3,0,6,92,56,39,38,225
LGA53990,14,6,6,5,31,420,263,102,38,823
LGA54060,3,3,0,3,9,48,38,15,9,110
LGA54130,0,0,0,0,0,9,9,0,0,18
LGA54170,45,17,9,0,71,2966,1751,531,137,5385
LGA54200,20,9,6,0,35,1088,702,222,78,2090
LGA54280,33,17,8,4,62,562,291,116,51,1020
LGA54340,4,3,0,4,11,74,44,24,20,162
LGA54410,0,0,0,0,0,24,10,0,3,37
LGA54480,0,0,0,0,0,6,3,0,0,9
LGA54550,0,0,0,0,0,34,16,11,0,61
LGA54620,3,0,0,0,3,9,9,0,0,18
LGA54690,0,0,0,0,0,9,6,0,0,15
LGA54760,0,0,0,0,0,6,0,0,3,9
LGA54830,33,11,3,4,51,796,458,161,60,1475
LGA54900,0,0,3,0,3,12,6,6,3,27
LGA54970,0,3,0,0,3,18,15,0,0,33
LGA55040,0,3,3,0,6,15,18,3,0,36
LGA55110,54,17,14,8,93,1691,917,378,155,3141
LGA55180,4,3,0,0,7,200,104,30,21,355
LGA55250,3,3,3,3,12,21,9,9,6,45
LGA55320,39,6,7,0,52,1900,1053,278,65,3296
LGA55390,0,0,0,0,0,9,7,3,3,22
LGA55460,3,3,3,0,9,54,26,12,4,96
LGA55530,0,3,0,0,3,6,9,6,0,21
LGA55600,3,0,0,0,3,55,24,10,3,92
LGA55670,3,0,0,0,3,17,12,0,3,32
LGA55740,0,3,0,0,3,146,92,31,10,279
LGA55810,3,0,0,0,3,10,5,4,3,22
LGA55880,0,0,0,0,0,3,4,0,0,7
LGA55950,0,0,0,0,0,6,3,0,0,9
LGA56020,0,3,3,0,6,13,6,8,3,30
LGA56090,17,11,4,0,32,720,390,161,56,1327
LGA56160,3,0,0,0,3,6,0,0,0,6
LGA56230,13,3,0,3,19,268,150,70,25,513
LGA56300,3,3,0,0,6,23,13,6,6,48
LGA56370,0,0,0,0,0,12,6,0,3,21
LGA56450,0,0,0,0,0,11,7,0,0,18
LGA56520,9,0,0,0,9,108,45,15,13,181
LGA56580,3,3,0,0,6,288,183,70,10,551
LGA56620,3,3,0,0,6,50,35,13,7,105
LGA56730,6,5,0,3,14,246,140,48,39,473
LGA56790,0,0,0,0,0,55,31,12,3,101
LGA56860,0,0,0,0,0,3,3,0,3,9
LGA56930,3,0,0,0,3,20,19,3,0,42
LGA57000,0,0,0,0,0,9,0,3,0,12
LGA57080,5,0,0,0,5,172,35,6,0,213
LGA57140,0,0,0,3,3,29,9,6,12,56
LGA57210,4,0,0,0,4,113,45,27,9,194
LGA57280,14,8,4,3,29,181,88,36,28,333
LGA57350,0,3,0,0,3,15,12,3,6,36
LGA57420,0,3,0,0,3,19,12,6,3,40
LGA57490,82,28,10,4,124,2286,1329,504,220,4339
LGA57560,10,6,6,0,22,221,100,49,25,395
LGA57630,0,0,0,0,0,0,0,0,0,0
LGA57700,10,3,0,0,13,280,175,80,26,561
LGA57770,0,0,0,0,0,17,3,0,4,24
LGA57840,17,3,4,3,27,816,341,97,34,1288
LGA57910,101,68,28,21,218,4631,2162,583,241,7617
LGA57980,0,0,0,0,0,285,118,33,9,445
LGA58050,75,36,27,17,155,2578,1527,565,267,4937
LGA58190,0,3,0,0,3,7,3,3,0,13
LGA58260,0,0,0,0,0,10,12,0,0,22
LGA58330,0,3,0,0,3,88,55,11,12,166
LGA58400,0,0,0,0,0,3,4,3,3,13
LGA58470,0,6,0,0,6,7,6,6,0,19
LGA58510,17,10,0,5,32,671,262,60,26,1019
LGA58540,0,0,0,0,0,6,3,6,0,15
LGA58570,8,3,0,0,11,567,206,51,7,831
LGA58610,5,0,0,0,5,37,15,9,3,64
