region_id,C11_100_149_Ot_lan_ty,C11_100_149_Lan_typ_ns,C11_100_149_Tot,C11_150_199_REA,C11_150_199_ST_HA,C11_150_199_Pe_no_sa_ho,C11_150_199_H_c_o_c_c_g,C11_150_199_Ot_lan_ty,C11_150_199_Lan_ty_ns,C11_150_199_Tot,C11_200_224_REA,C11_200_224_ST_HA,C11_200_224_Pe_no_sa_ho,C11_200_224_H_c_o_c_c_g,C11_200_224_Ot_lan_ty,C11_200_224_Lan_ty_ns,C11_200_224_Tot,C11_225_274_REA,C11_225_274_ST_HA,C11_225_274_Pe_no_sa_ho,C11_225_274_H_c_o_c_c_g,C11_225_274_Ot_la_typ,C11_225_274_Lan_ty_ns,C11_225_274_Tot,C11_275_349_REA,C11_275_349_ST_HA,C11_275_349_Pe_no_sa_ho,C11_275_349_H_c_o_c_c_g,C11_275_349_Ot_lan_ty,C11_275_349_Lan_ty_ns,C11_275_349_Tot,C11_350_449_REA,C11_350_449_ST_HA,C11_350_449_Pe_no_sa_ho,C11_350_449_H_c_o_c_c_g,C11_350_449_Ot_lan_ty,C11_350_449_Lan_ty_ns,C11_350_449_Tot,C11_450_549_REA,C11_450_549_ST_HA,C11_450_549_Pe_no_sa_ho,C11_450_549_H_c_o_c_c_g,C11_450_549_Oth_lan_typ,C11_450_549_Lan_ty_ns,C11_450_549_Tot,C11_550_649_REA,C11_550_649_ST_HA,C11_550_649_Pe_no_sa_ho,C11_550_649_H_c_o_c_c_g,C11_550_649_Ot_lan_ty,C11_550_649_Lan_ty_ns,C11_550_649_Tot,C11_650_over_REA,C11_650over_ST_HA,C11_650ove_Pe_no_sa_ho,C11_650ov_H_co_op_c_ch_gr,C11_650over_Oth_lan_typ,C11_650over_LLT_NS,C11_650_over_Tot,C11_R_NS_REA,C11_R_NS_ST_HA,C11_R_NS_Pe_no_sa_ho,C11_R_NS_H_co_op_c_ch_gr,C11_R_NS_Oth_lan_typ,C11_R_NS_Land_typ_ns,C11_Rent_not_statd_Tot,C11_Tot_REA,C11_Tot_ST_HA,C11_T_Pe_no_sa_ho,C11_Tot_Ho_co_op_co_ch_gr,C11_Tot_Oth_lan_typ,C11_Tot_LLT_NS,C11_T_T
LGA14000,11,4,334,49,82,115,63,18,4,331,45,26,113,12,35,3,234,182,33,173,37,24,4,453,648,30,287,22,39,3,1029,2526,26,523,22,44,7,3148,1988,11,353,8,19,10,2389,799,3,131,4,3,3,943,599,4,110,3,12,0,728,121,41,120,60,43,17,402,6998,676,2237,407,293,221,10832
LGA14100,3,0,62,0,28,5,4,6,0,43,3,4,11,0,0,0,18,23,9,21,0,3,0,56,61,4,28,4,3,0,100,127,6,25,4,0,0,162,116,0,25,0,0,0,141,93,0,22,0,0,0,115,173,0,34,0,0,0,207,15,8,7,7,0,3,40,611,282,202,31,22,25,1173
LGA14150,7,0,298,57,151,71,30,14,3,326,74,42,77,5,16,3,217,283,37,129,11,14,3,477,1087,48,212,6,19,6,1378,1924,43,324,7,26,7,2331,990,8,162,3,7,4,1174,310,5,55,0,4,3,377,172,7,27,0,8,3,217,99,95,87,17,18,17,333,5032,1136,1323,132,152,119,7894
LGA14200,33,0,318,207,47,76,9,23,0,362,101,9,51,3,8,3,175,222,4,40,5,11,0,282,75,0,20,3,3,0,101,27,5,0,3,6,0,41,5,0,3,0,3,0,11,0,0,0,0,4,0,4,4,0,9,0,0,0,13,11,19,23,4,19,5,81,796,206,394,90,155,109,1750
LGA14250,7,3,36,6,0,6,0,0,0,12,0,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,5,0,0,15,0,4,0,19,28,6,49,8,22,17,130
LGA14300,3,3,83,60,15,31,0,4,0,110,40,3,19,0,3,0,65,40,0,6,0,0,0,46,12,0,6,0,0,0,18,0,0,3,0,0,0,3,0,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,15,0,4,0,26,195,60,134,14,30,23,456
LGA14350,35,5,402,402,104,165,45,34,9,759,292,41,106,12,23,0,474,414,18,103,4,11,4,554,212,0,47,0,6,4,269,65,0,11,0,4,0,80,33,5,3,0,0,0,41,5,0,0,0,0,0,5,7,0,9,0,10,0,26,26,19,41,8,16,3,113,1568,394,689,152,161,105,3069
LGA14400,3,3,52,42,16,38,8,7,0,111,55,6,46,0,5,0,112,123,8,67,0,3,0,201,259,0,105,3,10,0,377,314,3,71,0,7,0,395,82,0,17,0,3,0,102,21,0,3,0,3,0,27,12,0,5,0,10,0,27,14,6,6,13,8,4,51,928,63,421,60,66,41,1579
LGA14450,5,0,88,23,29,64,8,4,0,128,31,12,42,4,10,0,99,124,10,72,6,14,3,229,603,12,185,3,15,10,828,1596,10,217,4,17,7,1851,831,0,137,3,9,3,983,274,0,46,3,6,0,329,148,0,46,0,3,3,200,70,23,74,12,13,18,210,3722,227,1028,68,108,100,5253
LGA14500,4,3,84,7,3,36,11,3,0,60,8,0,34,3,3,0,48,33,3,60,0,7,0,103,101,3,104,5,13,0,226,443,0,132,3,11,4,593,702,3,145,7,17,3,877,687,0,124,8,14,3,836,1755,0,364,6,3,4,2132,71,4,66,19,12,7,179,3828,30,1222,159,106,130,5475
