region_id,C11_75_79_N_mar_M,C11_75_79_N_mar_F,C11_75_79_T_M,C11_75_79_T_F,C11_75_79_T_P,C11_80_84_Mar_RegM_M,C11_80_84_Mar_RegM_F,C11_80_84_Mar_DFM_M,C11_80_84_Mar_DFM_F,C11_80_84_N_mar_M,C11_80_84_N_mar_F,C11_80_84_T_M,C11_80_84_T_F,C11_80_84_T_P,C11_85o_Mar_RegM_M,C11_85o_Mar_RegM_F,C11_85o_Mar_DFM_M,C11_85o_Mar_DFM_F,C11_85o_N_mar_M,C11_85o_N_mar_F,C11_85o_T_M,C11_85o_T_F,C11_85o_T_P,C11_T_Marr_reg_marr_M,C11_T_Marr_reg_marr_F,C11_T_Mar_de_fa_mar_M,C11_T_Mar_de_fa_mar_F,C11_Tot_N_mar_M,C11_Tot_N_mar_F,C11_Tot_T_M,C11_Tot_T_F,C11_Tot_T_P
LGA11600,7,18,30,31,61,16,9,0,0,11,13,27,22,49,5,3,0,0,3,10,8,13,21,474,470,93,101,384,266,951,837,1788
LGA11700,7,13,12,16,28,3,0,0,0,4,12,7,12,19,0,3,0,0,4,7,4,10,14,237,230,106,107,365,298,708,635,1343
LGA11720,141,346,517,611,1128,210,139,6,5,130,347,346,491,837,97,35,6,0,99,305,202,340,542,8479,8615,1992,2053,6881,7785,17352,18453,35805
LGA11730,246,430,860,893,1753,388,235,16,5,183,428,587,668,1255,185,78,8,3,134,432,327,513,840,8914,9013,1740,1825,6699,7619,17353,18457,35810
LGA11750,9,25,38,48,86,19,6,0,0,8,25,27,31,58,0,0,0,0,8,23,8,23,31,693,708,250,248,668,532,1611,1488,3099
LGA11800,207,513,953,1081,2034,494,288,7,10,197,470,698,768,1466,253,123,3,3,206,561,462,687,1149,11947,12175,2424,2511,9163,11109,23534,25795,49329
LGA11860,0,8,10,11,21,4,5,0,0,4,3,8,8,16,4,0,0,0,3,3,7,3,10,330,325,55,56,192,117,577,498,1075
LGA12000,18,38,64,75,139,39,22,0,0,16,23,55,45,100,18,8,0,0,5,36,23,44,67,815,825,96,102,457,520,1368,1447,2815
LGA12050,37,76,151,134,285,46,29,0,0,34,96,80,125,205,44,19,0,0,27,88,71,107,178,1742,1768,354,358,1281,1400,3377,3526,6903
LGA12150,17,26,62,61,123,26,12,0,0,14,34,40,46,86,8,5,0,0,6,29,14,34,48,611,613,172,168,618,610,1401,1391,2792
LGA12200,26,45,128,129,257,68,48,0,0,23,96,91,144,235,23,7,0,0,18,81,41,88,129,1439,1467,196,203,860,1081,2495,2751,5246
LGA12300,67,87,232,231,463,117,66,4,0,51,95,172,161,333,55,18,0,3,40,106,95,127,222,2204,2239,367,375,1420,1409,3991,4023,8014
LGA12350,54,100,186,217,403,95,55,4,3,52,118,151,176,327,45,29,0,0,37,115,82,144,226,2232,2256,400,417,1671,1749,4303,4422,8725
