region_id,C11_T_FH_Tot,C11_Tot_LP_H,C11_Tot_GH,C11_Tot_OH,C11_T_T
LGA40070,3402,3443,1330,1264,9439
LGA40120,10870,2507,231,302,13910
LGA40220,6815,2480,212,338,9845
LGA40250,372,144,11,58,585
LGA40310,6303,2037,167,294,8801
LGA40430,677,332,20,66,1095
LGA40520,2880,1209,82,255,4426
LGA40700,11178,4885,532,574,17169
LGA40910,13203,4952,554,446,19155
LGA41010,887,353,36,179,1455
LGA41060,27823,12892,1742,1481,43938
LGA41140,2398,915,84,134,3531
LGA41190,455,214,20,22,711
LGA41330,355,341,17,127,840
LGA41560,3654,1573,127,226,5580
LGA41750,277,136,10,73,496
LGA41830,474,203,8,106,791
LGA41960,338,136,7,68,549
LGA42030,5687,2297,194,291,8469
LGA42110,1133,522,34,85,1774
LGA42250,2162,511,44,102,2819
LGA42600,8773,5398,670,739,15580
LGA42750,1180,558,45,164,1947
LGA43080,287,117,11,16,431
LGA43220,292,113,8,15,428
LGA43360,631,277,21,47,976
LGA43650,3830,876,79,119,4904
LGA43710,1313,385,32,61,1791
LGA43790,3131,1269,72,199,4671
LGA43920,2266,579,77,95,3017
LGA44000,13,9,0,5,27
LGA44060,22256,10119,1465,956,34796
LGA44210,2173,1039,75,273,3560
LGA44340,17068,5885,805,565,24323
LGA44550,8264,2364,270,282,11180
LGA44620,6775,3155,292,294,10516
LGA44830,791,343,19,101,1254
LGA45040,5118,2148,239,327,7832
LGA45090,2242,798,85,111,3236
LGA45120,1251,549,38,66,1904
LGA45290,8570,5441,992,629,15632
LGA45340,44601,14326,1600,1700,62227
LGA45400,246,102,7,33,388
LGA45540,436,315,25,66,842
LGA45680,20831,7268,909,1021,30029
LGA45890,28399,14192,2063,1686,46340
LGA46090,3404,1500,128,621,5653
LGA46300,3706,1625,193,234,5758
LGA46450,4639,2239,135,223,7236
LGA46510,5038,2292,492,246,8068
LGA46670,2449,1052,82,268,3851
LGA46860,373,160,11,76,620
LGA46970,1034,218,66,155,1473
LGA47140,34420,11529,1416,1682,49047
LGA47290,550,266,17,32,865
LGA47490,531,211,15,120,877
LGA47630,1749,653,65,96,2563
LGA47700,27438,7731,796,733,36698
LGA47800,1468,597,52,183,2300
LGA47910,700,334,15,34,1083
LGA47980,9121,4624,892,584,15221
LGA48050,3906,1732,103,399,6140
LGA48130,1723,782,58,91,2654
LGA48260,1778,841,124,175,2918
LGA48340,3178,1336,87,114,4715
LGA48410,13845,7650,1516,817,23828
LGA48540,5774,2928,231,615,9548
LGA48640,324,151,7,24,506
LGA48750,1273,551,39,102,1965
LGA48830,3062,1483,70,367,4982
LGA49399,786,477,47,809,2119
LGA50080,8871,3320,336,550,13077
LGA50210,16672,4643,656,1056,23027
LGA50250,1435,454,50,861,2800
LGA50280,3053,991,163,508,4715
LGA50350,3818,1638,256,226,5938
LGA50420,15911,7041,1395,1156,25503
LGA50490,8646,4092,957,937,14632
LGA50560,446,202,12,28,688
LGA50630,444,123,12,40,619
LGA50770,440,168,7,17,632
LGA50840,1234,459,35,52,1780
LGA50910,234,102,4,23,363
LGA50980,3259,1037,292,2534,7122
LGA51080,302,93,3,15,413
LGA51120,273,117,4,15,409
LGA51190,8150,3678,506,786,13120
LGA51260,8178,2506,314,598,11596
LGA51310,6445,2162,364,341,9312
LGA51330,21736,6567,1776,1194,31273
LGA51400,3912,633,102,218,4865
LGA51470,137,74,7,27,245
LGA51540,1321,574,52,1481,3428
LGA51610,330,80,10,66,486
LGA51680,1237,248,21,69,1575
LGA51750,2281,1150,171,234,3836
LGA51820,24286,6437,1119,1230,33072
LGA51890,2324,882,71,153,3430
LGA51960,883,331,30,201,1445
