region_id,Ot_ty_Ed_Ins_Pt_st_C01_P,Ot_ty_Ed_Ins_Pt_st_C06_M,Ot_ty_Ed_Ins_Pt_st_C06_F,Ot_ty_Ed_Ins_Pt_st_C06_P,Ot_ty_Ed_Ins_Pt_st_C11_M,Ot_ty_Ed_Ins_Pt_st_C11_F,Ot_ty_Ed_Ins_Pt_st_C11_P,O_t_E_I_F_P_s_s_ns_C01_M,O_t_E_I_F_P_s_s_ns_C01_F,O_t_E_I_F_P_s_s_ns_C01_P,O_t_E_I_F_P_s_s_ns_C06_M,O_t_E_I_F_P_s_s_ns_C06_F,O_t_E_I_F_P_s_s_ns_C06_P,O_t_E_I_F_P_s_s_ns_C11_M,O_t_E_I_F_P_s_s_ns_C11_F,O_t_E_I_F_P_s_s_ns_C11_P,Oth_ty_Edu_Ins_Tot_C01_M,Oth_ty_Edu_Ins_Tot_C01_F,Oth_ty_Edu_Ins_Tot_C01_P,Oth_ty_Edu_Ins_Tot_C06_M,Oth_ty_Edu_Ins_Tot_C06_F,Oth_ty_Edu_Ins_Tot_C06_P,Oth_ty_Edu_Ins_Tot_C11_M,Oth_ty_Edu_Ins_Tot_C11_F,Oth_ty_Edu_Ins_Tot_C11_P,Type_Educ_Insti_ns_C01_M,Type_Educ_Insti_ns_C01_F,Type_Educ_Insti_ns_C01_P,Type_Educ_Insti_ns_C06_M,Type_Educ_Insti_ns_C06_F,Type_Educ_Insti_ns_C06_P,Type_Educ_Insti_ns_C11_M,Type_Educ_Insti_ns_C11_F,Type_Educ_Insti_ns_C11_P,OS_vis_C01_M,OS_vis_C01_F,OS_vis_C01_P,OS_vis_C06_M,OS_vis_C06_F,OS_vis_C06_P,OS_vis_C11_M,OS_vis_C11_F,OS_vis_C11_P,Tot_C01_M,Tot_C01_F,Tot_C01_P,Tot_C06_M,Tot_C06_F,Tot_C06_P,Tot_C11_M,Tot_C11_F,Tot_C11_P
LGA11700,7,3,0,3,0,3,3,0,0,0,0,0,0,0,0,0,8,9,17,6,6,12,4,3,7,210,105,315,151,103,254,144,73,217,5,4,9,10,5,15,26,14,40,435,296,731,325,284,609,345,303,648
LGA11720,164,50,86,136,68,120,188,0,0,0,0,6,6,6,5,11,58,139,197,62,116,178,93,162,255,1677,1290,2967,2004,1681,3685,2162,1704,3866,66,67,133,57,65,122,83,85,168,6862,6809,13671,7184,6820,14004,7643,7390,15033
LGA11730,179,38,138,176,70,110,180,3,3,6,3,6,9,0,4,4,89,149,238,63,162,225,94,134,228,1042,823,1865,1851,1545,3396,1710,1552,3262,74,97,171,67,74,141,59,67,126,6653,6514,13167,6959,6877,13836,6703,6994,13697
LGA11750,17,4,9,13,5,11,16,0,0,0,0,0,0,0,0,0,6,11,17,7,13,20,5,11,16,129,106,235,345,228,573,296,223,519,11,5,16,3,3,6,14,10,24,745,780,1525,857,740,1597,787,713,1500
LGA11800,314,80,226,306,89,207,296,0,3,3,0,6,6,0,6,6,136,262,398,114,272,386,126,286,412,1112,1167,2279,2237,2270,4507,2268,2297,4565,215,242,457,182,229,411,221,280,501,9069,9575,18644,9972,10591,20563,9984,10939,20923
LGA11860,6,0,0,0,3,4,7,0,0,0,0,0,0,0,0,0,3,3,6,0,0,0,3,4,7,32,31,63,67,57,124,40,27,67,3,0,3,0,0,0,6,7,13,274,268,542,248,276,524,222,228,450
LGA12000,14,0,4,4,4,7,11,0,0,0,0,0,0,0,0,0,5,12,17,0,7,7,11,11,22,44,57,101,87,108,195,138,149,287,3,4,7,3,3,6,0,3,3,562,585,1147,546,612,1158,579,651,1230
LGA12050,49,6,28,34,9,29,38,0,0,0,0,0,0,0,0,0,26,39,65,14,34,48,12,32,44,262,258,520,581,437,1018,486,321,807,14,28,42,20,21,41,12,12,24,1708,1715,3423,1732,1648,3380,1529,1467,2996
LGA12150,8,0,3,3,8,3,11,3,0,3,0,0,0,0,0,0,6,5,11,3,3,6,8,3,11,97,98,195,146,140,286,191,169,360,15,15,30,4,5,9,7,6,13,616,675,1291,571,644,1215,540,585,1125
LGA12200,31,3,7,10,3,10,13,0,0,0,0,0,0,0,0,0,16,25,41,8,7,15,8,13,21,102,107,209,186,225,411,285,291,576,0,8,8,8,9,17,10,8,18,932,1046,1978,919,1087,2006,960,1066,2026
