region_id,T_EI_ns_IndSt_nsP,T_EI_ns_TotM,T_EI_ns_TotF,T_EI_ns_TotP,Tot_Indig_M,Tot_Indig_F,Tot_Indig_P,Tot_NonInd_M,Tot_NonInd_F,Tot_NonInd_P,Tot_IndigStat_nsM,Tot_IndigStat_nsF,Tot_IndigStat_nsP,Tot_TotM,Tot_TotF,Tot_TotP
ILOC10702401,4541,3978,3738,7716,117,108,225,12131,12033,24164,2613,2224,4837,14861,14365,29226
ILOC10702501,3105,2866,2851,5717,166,158,324,12291,13241,25532,1832,1507,3339,14289,14906,29195
ILOC10702502,2296,2215,2278,4493,212,180,392,14379,14590,28969,1368,1196,2564,15959,15966,31925
ILOC10702601,4649,3064,2528,5592,157,174,331,6073,6606,12679,2614,2109,4723,8844,8889,17733
ILOC10702602,6498,4237,3328,7565,59,67,126,4097,4426,8523,3808,2752,6560,7964,7245,15209
ILOC10702603,7966,4979,4069,9048,98,126,224,7035,8244,15279,4503,3595,8098,11636,11965,23601
ILOC10702604,1036,700,561,1261,25,41,66,775,638,1413,590,462,1052,1390,1141,2531
ILOC10702701,2038,1563,1491,3054,47,45,92,5155,5400,10555,1137,1012,2149,6339,6457,12796
ILOC10702702,1307,1211,1077,2288,19,19,38,4680,4951,9631,796,628,1424,5495,5598,11093
ILOC10702703,3783,2819,2616,5435,48,68,116,8826,9434,18260,2169,1772,3941,11043,11274,22317
ILOC10702704,2107,1554,1444,2998,34,15,49,5104,4838,9942,1162,1056,2218,6300,5909,12209
ILOC10702801,3465,2484,2546,5030,44,47,91,13063,13614,26677,1875,1786,3661,14982,15447,30429
ILOC10702802,6419,3839,3829,7668,30,23,53,8606,9724,18330,3387,3153,6540,12023,12900,24923
ILOC10702901,1171,1197,1172,2369,234,229,463,5577,5642,11219,665,621,1286,6476,6492,12968
ILOC10703001,5818,5916,5774,11690,912,909,1821,26075,26495,52570,3448,2885,6333,30435,30289,60724
ILOC10703101,6061,3890,3587,7477,39,51,90,6536,7074,13610,3289,2887,6176,9864,10012,19876
ILOC10703102,4854,2959,2982,5941,29,25,54,5430,6122,11552,2552,2412,4964,8011,8559,16570
ILOC19499494,1155,1958,861,2819,250,173,423,1727,1152,2879,760,420,1180,2737,1745,4482
ILOC19799797,4,9,0,9,0,0,0,9,0,9,7,0,7,16,0,16
