region_id,Med_ag_pe_In_pe_h_I_p,Me_ag_ps_N_In_ps_ot_hh,Med_age_psns_Tot,Me_p_in_wk_In_ps_hh_In_p,Me_ps_in_wk_No_In_ps_ot_hh,Med_psnl_inc_wk_Tot,Me_hh_in_wk_In_ps_hh_In_ps,Me_hh_in_wk_No_In_ps_ot_hh,Med_hhd_inc_wk_Tot,Me_mo_re_mt_In_ps_hh_In_ps,Me_mo_re_mt_No_In_ps_ot_hh,Med_mort_repay_mth_Tot,Me_re_wk_In_ps_hh_Ind_psns,Me_re_wk_No_In_psns_oth_hh,Med_rent_wk_Tot,Av_N_p_pe_be_In_ps_hh_wi_In_p,Av_Nu_ps_pe_be_No_In_ps_ot_hh,Avg_Nu_psns_per_bed_Tot,Av_hh_si_In_ps_hh_wi_Ind_psns,Avg_hh_si_No_Ind_psn_othr_hhd,Avg_household_size_Tot,P_d_n_x_b_In_ps_hh_w_In_p,P_d_n_x_b_No_In_p_oth_hh,P_d_n_x_b_Tot
ILOC10200604,26,50,46,334,366,362,769,612,631,1257,1092,1092,175,163,165,1.2,1.1,1.1,3.0,2.0,2.2,4.6,2.0,2.4
ILOC10200701,26,37,36,371,663,625,792,1172,1126,1300,1404,1396,140,155,150,1.3,1.1,1.1,2.9,2.1,2.2,8.5,1.4,2.3
ILOC10200702,24,38,33,326,593,489,676,1018,886,1300,1213,1213,150,170,160,1.2,1.1,1.1,3.0,2.2,2.4,11.8,2.4,5.3
ILOC10200703,25,40,39,268,787,720,742,1638,1469,500,1408,1350,153,280,240,1.1,1.1,1.1,3.5,2.7,2.8,10.3,1.4,2.4
ILOC10200704,20,36,27,292,350,306,716,700,713,910,650,650,140,180,140,1.2,1.2,1.2,3.5,1.9,3.0,7.3,0,5.3
ILOC10200801,19,47,30,261,370,304,755,694,714,513,362,362,110,130,110,1.5,1.1,1.3,4.5,2.0,3.0,26.3,2.9,13.1
ILOC10200802,18,38,37,488,634,628,1086,1191,1177,1439,1083,1083,19,9,9,1.2,1.1,1.1,3.5,2.6,2.6,6.1,2.4,2.7
ILOC10200803,17,37,34,481,602,574,633,911,831,563,693,672,140,88,110,1.1,1.1,1.1,3.1,2.1,2.3,0,2.1,1.6
ILOC10200804,17,43,25,302,591,334,738,1024,853,0,0,0,100,0,100,1.3,1.1,1.2,4.3,2.3,3.4,17.0,0,9.1
ILOC10200901,18,33,32,433,634,619,1151,1423,1404,1733,1733,1733,210,250,240,1.2,1.1,1.1,3.2,2.5,2.6,5.1,2.2,2.5
ILOC10200902,24,38,37,425,623,619,1634,1356,1368,1625,1836,1820,180,200,200,1.3,1.1,1.1,3.2,2.6,2.6,9.4,2.1,2.4
ILOC10201001,21,40,38,334,552,524,720,993,950,1300,1300,1300,150,157,150,1.2,1.1,1.1,3.0,2.3,2.4,8.9,1.5,2.5
ILOC10201002,20,42,40,351,547,532,790,1079,1064,867,1322,1300,110,100,105,1.2,1.1,1.1,3.2,2.6,2.6,8.3,1.9,2.4
ILOC10201003,20,40,35,364,505,476,724,884,850,1083,1029,1083,137,135,135,1.1,1.1,1.1,3.0,2.2,2.4,9.6,0.6,2.6
ILOC10201101,20,39,37,378,553,538,862,994,979,1515,1430,1430,200,220,215,1.2,1.1,1.1,3.1,2.3,2.4,8.8,1.7,2.4
ILOC10201102,18,44,43,375,471,466,917,913,913,1127,1365,1322,180,150,150,1.2,1.1,1.1,3.2,2.5,2.5,7.8,1.8,2.2
ILOC10201201,28,0,28,291,0,291,440,0,440,0,0,0,130,0,130,1.1,0,1.1,2.8,0,2.8,20.5,0,20.5
ILOC10201202,19,49,48,291,383,380,670,700,698,1213,1083,1083,160,160,160,1.3,1.1,1.1,3.2,2.2,2.3,13.4,2.0,2.6
ILOC10201301,20,39,39,419,556,552,1125,1069,1072,1218,1625,1600,180,170,170,1.2,1.1,1.1,3.2,2.4,2.4,6.6,1.4,1.6
ILOC10201401,25,43,42,348,495,486,789,964,952,1300,1300,1300,140,160,155,1.2,1.1,1.1,3.0,2.5,2.5,5.9,1.7,2.0
ILOC10201402,22,46,45,310,466,454,608,841,816,600,919,910,120,95,100,1.3,1.1,1.1,3.0,2.3,2.3,14.3,0.9,1.9
