region_id,Negative_Nil_income_M,Negative_Nil_income_F,Negative_Nil_income_P,PI1_199_M,PI1_199_F,PI1_199_P,PI200_299_M,PI200_299_F,PI200_299_P,PI300_399_M,PI300_399_F,PI300_399_P,PI400_599_M,PI400_599_F,PI400_599_P,PI600_799_M,PI600_799_F,PI600_799_P,PI800_999_M,PI800_999_F,PI800_999_P,PI1000_more_M,PI1000_more_F,PI1000_more_P,Personal_income_nsM,Personal_income_nsF,Personal_income_nsP,Tot_M,Tot_F,Tot_P
ILOC10401502,33,29,62,46,51,97,55,64,119,44,68,112,37,78,115,39,36,75,22,25,47,55,36,91,36,23,59,367,410,777
ILOC10401503,12,4,16,5,16,21,28,28,56,14,25,39,8,16,24,16,14,30,9,8,17,11,7,18,12,7,19,115,125,240
ILOC10401601,3,7,10,11,7,18,15,9,24,7,10,17,5,16,21,5,5,10,3,0,3,4,4,8,7,3,10,60,61,121
ILOC10401602,9,9,18,6,5,11,12,9,21,3,11,14,6,21,27,12,5,17,7,6,13,24,16,40,0,0,0,79,82,161
ILOC10401603,11,12,23,11,9,20,8,13,21,17,22,39,19,21,40,8,20,28,10,8,18,18,18,36,8,7,15,110,130,240
ILOC10401604,25,31,56,25,23,48,21,43,64,16,26,42,31,45,76,26,24,50,13,11,24,38,16,54,9,15,24,204,234,438
ILOC10401605,29,18,47,24,44,68,26,40,66,36,43,79,19,41,60,24,30,54,18,10,28,35,14,49,16,9,25,227,249,476
ILOC10401701,14,30,44,27,41,68,51,42,93,34,48,82,26,41,67,21,42,63,18,9,27,18,14,32,39,41,80,248,308,556
ILOC10401702,3,5,8,5,8,13,10,13,23,10,5,15,4,7,11,3,9,12,3,3,6,0,3,3,17,8,25,55,61,116
ILOC10401703,9,13,22,16,11,27,27,16,43,14,17,31,12,14,26,10,8,18,7,3,10,9,9,18,16,11,27,120,102,222
ILOC10401801,26,42,68,17,27,44,26,27,53,16,38,54,19,41,60,28,23,51,19,11,30,90,25,115,21,21,42,262,255,517
ILOC10401901,3,0,3,10,5,15,32,29,61,9,10,19,3,0,3,0,3,3,0,0,0,0,0,0,0,3,3,57,50,107
ILOC10401902,25,36,61,62,64,126,87,90,177,60,81,141,37,78,115,35,36,71,3,18,21,28,19,47,34,44,78,371,466,837
ILOC10401903,22,21,43,27,27,54,34,49,83,37,29,66,20,40,60,23,19,42,18,11,29,23,17,40,8,10,18,212,223,435
ILOC10401904,7,8,15,4,14,18,11,11,22,5,12,17,3,4,7,4,4,8,3,4,7,4,0,4,3,9,12,44,66,110
ILOC10402001,14,20,34,12,24,36,16,23,39,24,14,38,12,27,39,19,17,36,4,7,11,13,9,22,12,7,19,126,148,274
ILOC10402002,19,9,28,11,12,23,11,16,27,8,12,20,17,27,44,13,3,16,16,3,19,20,22,42,4,5,9,119,109,228
ILOC10402003,59,48,107,79,72,151,102,98,200,83,113,196,64,125,189,63,79,142,47,33,80,93,64,157,72,43,115,662,675,1337
ILOC10402101,86,75,161,97,137,234,116,132,248,79,123,202,94,175,269,109,116,225,95,64,159,151,93,244,76,59,135,903,974,1877
ILOC10402102,73,70,143,82,89,171,106,103,209,60,129,189,64,140,204,69,95,164,50,39,89,115,79,194,52,49,101,671,793,1464
ILOC10500101,7,7,14,8,3,11,5,6,11,6,9,15,4,7,11,0,10,10,3,9,12,15,4,19,5,4,9,53,59,112
ILOC10500102,29,24,53,31,33,64,32,41,73,34,38,72,28,54,82,27,31,58,21,16,37,28,22,50,27,36,63,257,295,552
ILOC10500201,3,6,9,3,5,8,5,6,11,3,7,10,5,3,8,6,12,18,0,0,0,3,0,3,3,3,6,31,42,73
ILOC10500202,11,10,21,5,4,9,20,18,38,10,14,24,8,20,28,10,9,19,3,3,6,11,10,21,4,6,10,82,94,176
ILOC10500203,4,3,7,15,7,22,0,6,6,13,19,32,0,14,14,0,0,0,0,0,0,0,0,0,0,0,0,32,49,81
ILOC10500204,9,4,13,4,10,14,13,9,22,17,12,29,9,20,29,0,4,4,3,4,7,0,3,3,5,9,14,60,75,135
ILOC10500205,3,5,8,10,10,20,17,8,25,3,9,12,6,3,9,4,5,9,3,3,6,3,4,7,3,6,9,52,53,105
ILOC10500301,55,40,95,50,67,117,68,87,155,44,64,108,36,65,101,36,52,88,35,19,54,59,46,105,180,35,215,563,475,1038
ILOC10500401,26,27,53,25,21,46,20,21,41,11,23,34,14,14,28,23,20,43,13,7,20,19,20,39,7,12,19,158,165,323
ILOC10500501,5,4,9,3,7,10,0,6,6,5,3,8,5,5,10,3,5,8,3,0,3,5,3,8,3,0,3,32,33,65
ILOC10500502,6,6,12,4,4,8,13,11,24,4,13,17,9,17,26,15,6,21,10,4,14,5,0,5,3,4,7,69,65,134
ILOC10500503,3,9,12,3,3,6,3,4,7,4,10,14,3,3,6,8,0,8,3,3,6,3,0,3,4,0,4,34,32,66
ILOC10500601,18,14,32,16,25,41,21,22,43,14,31,45,9,25,34,22,9,31,10,4,14,19,11,30,16,14,30,145,155,300
ILOC10500701,19,9,28,8,29,37,32,30,62,20,13,33,19,23,42,20,17,37,9,8,17,20,15,35,14,4,18,161,148,309
ILOC10500801,6,12,18,10,10,20,14,31,45,13,15,28,8,15,23,13,13,26,3,5,8,11,7,18,5,0,5,83,108,191
ILOC10500901,25,19,44,32,36,68,48,47,95,31,39,70,25,43,68,31,27,58,10,7,17,15,21,36,53,25,78,270,264,534
ILOC10501001,8,6,14,5,5,10,16,12,28,18,14,32,5,17,22,0,11,11,3,0,3,9,3,12,17,12,29,81,80,161
ILOC10501002,5,5,10,6,12,18,26,13,39,16,19,35,5,15,20,4,9,13,8,6,14,4,5,9,7,3,10,81,87,168
ILOC10501101,15,19,34,40,40,80,37,46,83,26,55,81,24,43,67,40,37,77,17,9,26,38,13,51,16,19,35,253,281,534
ILOC10501201,24,20,44,25,37,62,53,67,120,34,71,105,38,48,86,34,25,59,34,21,55,27,27,54,42,31,73,311,347,658
ILOC10501202,16,23,39,20,27,47,25,26,51,16,33,49,10,34,44,20,21,41,22,12,34,25,9,34,17,12,29,171,197,368
ILOC10501301,16,12,28,12,14,26,20,35,55,19,21,40,11,19,30,21,17,38,8,4,12,14,7,21,197,8,205,318,137,455
ILOC10501401,31,17,48,10,15,25,37,38,75,33,41,74,27,46,73,15,24,39,12,7,19,22,20,42,18,23,41,205,231,436
ILOC10501402,7,5,12,3,4,7,5,14,19,5,4,9,3,4,7,5,5,10,3,3,6,7,3,10,3,3,6,41,45,86
ILOC10501403,6,3,9,10,7,17,15,12,27,9,21,30,9,11,20,5,5,10,4,0,4,5,4,9,13,20,33,76,83,159
ILOC10501501,22,20,42,26,37,63,33,46,79,37,40,77,27,50,77,24,29,53,9,6,15,59,13,72,75,17,92,312,258,570
ILOC10501502,0,6,6,9,5,14,7,6,13,5,11,16,3,8,11,4,3,7,9,3,12,12,3,15,21,3,24,70,48,118
ILOC10501601,40,25,65,33,45,78,47,48,95,26,51,77,30,45,75,28,25,53,20,13,33,71,12,83,24,13,37,319,277,596
ILOC10501701,14,13,27,10,15,25,22,28,50,25,31,56,16,31,47,27,23,50,15,10,25,19,9,28,24,12,36,172,172,344
ILOC10501801,14,13,27,10,13,23,21,14,35,6,21,27,15,25,40,10,11,21,4,11,15,27,9,36,3,6,9,110,123,233
ILOC10501802,12,10,22,22,21,43,14,23,37,8,30,38,18,25,43,17,8,25,10,9,19,17,7,24,17,22,39,135,155,290
ILOC10501803,8,13,21,10,13,23,7,5,12,3,15,18,9,21,30,4,9,13,7,0,7,10,9,19,6,3,9,64,88,152
ILOC10501804,17,17,34,15,15,30,19,27,46,24,27,51,17,25,42,10,10,20,7,5,12,6,9,15,27,29,56,142,164,306
ILOC10501805,4,3,7,3,3,6,5,7,12,6,8,14,8,8,16,0,0,0,3,4,7,4,4,8,4,5,9,37,42,79
ILOC10501806,0,3,3,0,8,8,5,0,5,3,3,6,0,8,8,0,7,7,6,0,6,11,3,14,5,0,5,30,32,62
ILOC10501807,5,3,8,0,4,4,5,4,9,3,0,3,8,3,11,10,4,14,3,11,14,6,5,11,9,6,15,49,40,89
ILOC10501901,10,16,26,19,15,34,23,29,52,13,36,49,12,30,42,20,17,37,6,3,9,13,13,26,8,17,25,124,176,300
ILOC10502001,16,10,26,12,23,35,31,22,53,23,27,50,19,20,39,17,14,31,7,3,10,21,17,38,23,12,35,169,148,317
ILOC10502101,20,11,31,19,34,53,26,24,50,27,26,53,17,39,56,25,14,39,12,16,28,29,24,53,18,12,30,193,200,393
ILOC10502102,3,4,7,3,5,8,11,13,24,5,12,17,6,11,17,10,10,20,6,3,9,13,8,21,8,5,13,65,71,136
ILOC10502103,5,0,5,6,14,20,3,5,8,3,3,6,3,10,13,9,6,15,9,6,15,13,15,28,3,0,3,54,59,113
ILOC10502104,11,9,20,6,5,11,14,17,31,8,15,23,17,13,30,23,12,35,8,7,15,10,16,26,4,4,8,101,98,199
ILOC10502105,53,30,83,44,49,93,61,70,131,35,77,112,42,75,117,39,45,84,32,23,55,47,32,79,33,31,64,386,432,818
ILOC10502201,8,11,19,10,16,26,21,25,46,14,20,34,14,19,33,8,8,16,3,4,7,13,0,13,14,12,26,105,115,220
ILOC10600101,3,9,12,8,10,18,11,9,20,9,13,22,9,8,17,8,3,11,3,0,3,6,5,11,4,13,17,61,70,131
ILOC10600102,12,11,23,17,15,32,20,24,44,16,19,35,16,28,44,7,8,15,13,8,21,15,9,24,13,9,22,129,131,260
ILOC10600103,10,3,13,16,9,25,19,18,37,13,9,22,5,11,16,5,5,10,6,3,9,3,4,7,5,12,17,82,74,156
ILOC10600201,14,23,37,33,26,59,38,49,87,25,28,53,20,38,58,18,22,40,9,14,23,12,19,31,28,26,54,197,245,442
ILOC10600202,3,3,6,7,3,10,3,4,7,3,3,6,8,3,11,3,3,6,0,3,3,0,0,0,0,3,3,27,25,52
ILOC10600203,18,7,25,20,12,32,36,34,70,25,27,52,8,30,38,16,13,29,3,9,12,23,18,41,10,14,24,159,164,323
ILOC10600204,5,3,8,14,7,21,18,21,39,18,12,30,8,21,29,3,8,11,4,5,9,0,6,6,7,11,18,77,94,171
ILOC10600205,3,6,9,9,0,9,9,8,17,0,6,6,4,7,11,0,7,7,0,3,3,4,0,4,5,6,11,34,43,77
ILOC10600206,0,3,3,12,6,18,9,11,20,5,6,11,0,0,0,0,4,4,0,0,0,3,5,8,3,0,3,32,35,67
ILOC10600301,11,5,16,9,14,23,23,11,34,21,16,37,7,7,14,7,7,14,8,3,11,6,6,12,7,5,12,99,74,173
ILOC10600302,50,48,98,92,75,167,123,119,242,69,98,167,49,104,153,70,60,130,36,36,72,47,54,101,44,44,88,580,638,1218
ILOC10600303,72,68,140,67,69,136,84,101,185,68,97,165,65,108,173,74,56,130,35,34,69,81,53,134,116,35,151,662,621,1283
ILOC10600401,33,26,59,28,33,61,33,45,78,24,38,62,23,53,76,32,52,84,34,30,64,88,100,188,31,17,48,326,394,720
ILOC10600402,15,15,30,13,23,36,20,23,43,14,23,37,16,35,51,19,19,38,17,13,30,50,27,77,35,10,45,199,188,387
ILOC10600501,20,23,43,30,23,53,25,33,58,25,35,60,19,40,59,25,21,46,17,12,29,33,31,64,104,16,120,298,234,532
ILOC10600502,23,14,37,19,14,33,19,23,42,10,13,23,15,24,39,14,14,28,18,3,21,31,16,47,4,11,15,153,132,285
ILOC10600503,27,29,56,21,29,50,24,33,57,20,36,56,29,42,71,28,28,56,18,8,26,53,27,80,12,35,47,232,267,499
ILOC10700101,8,13,21,7,7,14,12,12,24,3,10,13,9,11,20,9,8,17,7,6,13,19,18,37,156,63,219,230,148,378
ILOC10700201,23,31,54,20,18,38,16,19,35,16,25,41,8,37,45,12,23,35,15,20,35,83,54,137,6,11,17,199,238,437
ILOC10700301,21,19,40,22,21,43,39,39,78,15,37,52,8,33,41,12,23,35,7,11,18,16,9,25,17,22,39,157,214,371
ILOC10700302,13,7,20,8,7,15,22,22,44,10,13,23,4,14,18,7,9,16,3,6,9,0,4,4,11,11,22,78,93,171
ILOC10700303,12,12,24,11,15,26,19,26,45,17,10,27,9,20,29,22,22,44,13,10,23,26,24,50,8,4,12,137,143,280
ILOC10700304,28,42,70,20,31,51,31,41,72,21,30,51,20,45,65,28,28,56,17,14,31,51,27,78,11,20,31,227,278,505
ILOC10700305,0,6,6,8,6,14,9,9,18,9,8,17,3,11,14,3,5,8,0,3,3,8,3,11,6,3,9,46,54,100
ILOC10700306,44,25,69,21,34,55,33,53,86,21,63,84,31,40,71,28,40,68,20,14,34,30,21,51,21,28,49,249,318,567
