region_id,P_Tot_55_64,P_Tot_65_74,P_Tot_75_84,P_Tot_85ov,P_Tot_Tot
LGA50080,2332,1363,818,304,13960
LGA50210,3815,1977,1039,277,25467
LGA50250,462,64,9,0,5393
LGA50280,902,452,227,76,5480
LGA50350,942,490,286,94,6547
LGA50420,3891,2234,1235,565,30132
LGA50490,1787,1094,758,294,16563
LGA50560,147,102,40,10,582
LGA50630,142,51,17,6,1136
LGA50770,116,68,24,16,605
LGA50840,428,252,83,21,1747
LGA50910,59,44,20,9,303
LGA50980,860,290,93,22,6854
LGA51080,60,32,9,3,345
LGA51120,47,28,21,13,310
LGA51190,2015,1075,707,261,13650
LGA51260,2017,1331,778,236,12986
LGA51310,2056,1169,774,413,13848
LGA51330,5579,2896,1500,585,41335
LGA51400,853,364,122,24,6026
LGA51470,45,23,4,3,212
LGA51540,386,222,96,24,2310
LGA51610,102,48,15,0,441
LGA51680,300,201,47,9,1684
LGA51750,889,681,391,218,5433
LGA51820,4703,2270,1150,367,39364
LGA51890,579,286,159,68,3626
LGA51960,197,69,10,7,1443
LGA52030,79,61,19,0,373
LGA52100,68,38,24,9,351
LGA52170,864,476,225,128,4640
LGA52240,56,33,13,9,350
LGA52310,55,38,18,6,293
LGA52380,34,15,3,0,109
LGA52450,73,46,23,8,434
LGA52520,51,29,17,6,368
LGA52590,248,167,74,15,1330
LGA52660,621,340,229,122,4957
LGA52730,517,388,150,37,2503
LGA52800,343,99,28,6,3804
LGA52870,490,273,90,28,2196
LGA52940,49,19,12,4,209
LGA53010,30,20,7,0,198
LGA53080,61,48,10,4,462
LGA53150,695,322,177,84,3821
LGA53220,547,72,11,0,6634
LGA53290,707,482,265,98,5112
LGA53360,158,87,26,7,1124
LGA53430,2369,1239,722,302,14564
LGA53520,2022,1036,562,176,14101
LGA53570,422,267,97,23,1839
LGA53640,74,23,3,0,375
LGA53710,59,26,15,5,307
LGA53780,5573,3013,1465,454,43758
LGA53920,135,42,12,12,878
LGA53990,1425,735,304,69,9216
LGA54060,252,182,87,17,1345
LGA54130,42,30,12,3,346
LGA54170,12353,5168,2397,859,72075
LGA54200,4020,2428,1184,399,23384
LGA54280,1364,476,179,61,13134
LGA54340,210,110,63,27,1388
LGA54410,57,49,19,6,345
LGA54480,25,9,3,0,170
LGA54550,104,57,36,6,652
LGA54620,51,30,6,3,387
LGA54690,13,9,12,0,105
LGA54760,47,17,10,0,242
LGA54830,1237,719,389,105,11615
LGA54900,77,28,15,6,455
LGA54970,75,28,3,0,581
LGA55040,103,25,9,3,1360
LGA55110,4562,3789,2329,763,29103
LGA55180,608,361,148,48,3269
LGA55250,77,22,9,0,625
LGA55320,8188,4348,2886,1282,49501
LGA55390,18,6,0,0,88
LGA55460,152,68,37,17,1099
LGA55530,33,18,8,0,152
LGA55600,147,60,32,14,847
LGA55670,41,20,21,0,305
LGA55740,763,480,238,118,4789
LGA55810,32,25,3,0,268
LGA55880,20,9,0,3,154
LGA55950,17,14,6,0,149
LGA56020,34,22,13,0,258
LGA56090,3211,1748,729,214,17572
LGA56160,8,3,0,0,33
LGA56230,953,743,398,84,5412
LGA56300,162,84,28,3,542
LGA56370,34,15,21,22,239
LGA56450,43,35,12,0,326
LGA56520,233,134,92,35,1505
LGA56580,2181,1220,632,316,11339
LGA56620,59,15,0,0,319
LGA56730,747,419,206,75,3964
LGA56790,244,174,77,23,1224
LGA56860,10,0,7,0,76
LGA56930,173,91,58,28,821
LGA57000,51,19,17,4,393
LGA57080,1264,609,220,68,11941
LGA57140,60,38,27,11,358
LGA57210,392,227,86,39,1876
LGA57280,761,134,36,5,7824
LGA57350,64,47,30,7,341
LGA57420,127,85,30,9,879
LGA57490,5107,3159,1833,597,42628
LGA57560,1207,198,33,3,12451
LGA57630,9,9,0,0,41
LGA57700,1045,519,192,62,7121
LGA57770,74,42,18,3,379
LGA57840,3354,1629,909,571,22906
LGA57910,12331,7421,4617,1937,98500
LGA57980,1623,977,452,187,10912
LGA58050,5613,2861,1316,476,42887
LGA58190,21,12,17,3,133
LGA58260,45,9,12,7,231
LGA58330,487,244,68,16,1870
LGA58400,16,19,3,3,109
LGA58470,18,9,0,0,66
LGA58510,1761,867,720,663,18243
LGA58540,43,22,12,6,310
LGA58570,1846,749,457,230,18693
LGA58610,122,71,40,18,579
LGA58680,27,19,0,0,155
LGA58760,6608,3616,1872,750,60973
LGA58820,207,157,62,19,1269
LGA58890,34,25,10,0,270
LGA59030,9,9,3,0,99
