region_id,Tot_OcMngr,Tot_OcProf,Tot_OcTechTrdW,Tot_OcComPerS,Tot_OcClericAdm,Tot_OcSalesWk,Tot_OcMacOp_Driv,Tot_OcLab,Tot_OcID_NS,Tot_Tot
LGA22110,2674,2532,2581,1960,1893,1671,1097,2305,334,17047
LGA22170,6259,9375,10886,6020,9300,6775,4481,6137,1347,60580
LGA22250,1157,505,576,356,446,351,347,546,95,4379
LGA22310,9919,21969,6379,5289,10028,6323,1630,2972,1535,66044
LGA22410,1479,1179,1378,823,856,742,952,1186,207,8802
LGA22490,1263,1345,1625,853,1086,803,760,1052,190,8977
LGA22620,5166,8869,6857,4808,5992,4989,2874,5306,884,45745
LGA22670,3788,6691,8583,4787,7092,4732,7341,9214,1848,54076
LGA22750,9828,18625,15496,10744,12192,10024,6376,10107,2006,95398
LGA22830,3972,4451,3768,2378,3246,2730,1806,3772,527,26650
LGA22910,1011,1209,961,677,675,489,325,726,127,6200
LGA22980,645,302,264,229,227,146,214,367,44,2438
LGA23110,4909,9004,5321,3358,6255,3297,2902,3454,942,39442
LGA23190,1553,1560,1358,886,1120,1003,617,901,177,9175
LGA23270,6350,9186,11993,6865,11837,7236,7451,8004,2005,70927
LGA23350,1269,1392,1035,697,779,598,518,928,140,7356
LGA23430,9089,15713,10114,6232,11616,7331,3654,5092,1547,70388
LGA23670,8860,14993,12587,6832,13256,8478,4721,6458,1411,77596
LGA23810,2847,4527,5720,3109,4138,3213,2409,3585,711,30259
LGA23940,1080,301,292,229,250,165,178,392,51,2938
LGA24130,2893,4330,3540,2106,2836,1767,1042,1751,391,20656
LGA24210,8565,14749,6023,4316,8309,6016,1452,2707,1053,53190
LGA24250,694,541,632,386,362,362,223,444,68,3712
LGA24330,4130,9511,3778,3236,5011,2911,2073,3120,903,34673
LGA24410,6267,11565,8253,4970,8915,5715,2392,3962,944,52983
LGA24600,7160,20407,3200,4576,6434,3626,613,1658,1099,48773
LGA24650,4932,7195,8177,4844,8625,5185,5470,5226,1282,50936
LGA24780,3330,3309,2996,2119,2546,2406,1551,2781,440,21478
LGA24850,1937,2047,2787,1821,2243,1407,1529,1829,361,15961
LGA24900,2402,1328,1659,1085,1119,1012,856,1956,244,11661
LGA24970,9878,22581,8926,6488,12300,7899,3140,5484,1635,78331
LGA25060,7367,14754,5884,4584,9074,5089,2056,3127,1205,53140
LGA25150,1713,2052,2311,1287,1951,1161,1310,1293,248,13326
LGA25250,7775,20279,8561,6280,10702,5997,3470,5060,1731,69855
LGA25340,8472,11551,11874,6637,8036,6962,2932,5858,1307,63629
LGA25430,1086,1598,1038,797,789,578,407,996,136,7425
LGA25490,2424,1058,956,616,634,538,468,975,155,7824
LGA25620,1082,882,1022,693,615,404,396,713,130,5937
LGA25710,4909,8243,4998,3080,5216,3302,962,1734,634,33078
LGA25810,986,642,673,629,486,456,388,829,92,5181
LGA25900,10212,21244,4225,4258,7118,4376,743,1589,1169,54934
LGA25990,645,310,371,230,251,172,213,353,54,2599
LGA26080,211,326,130,117,143,92,35,70,30,1154
LGA26170,2746,1716,1892,1052,1270,1105,924,1541,245,12491
LGA26260,1728,1197,1114,739,827,681,439,869,131,7725
LGA26350,9331,19890,3229,3854,6895,4461,616,1502,1157,50935
LGA26430,946,562,577,370,401,285,305,616,93,4155
LGA26490,2041,3038,1956,1224,1406,1149,454,968,256,12492
LGA26610,1920,1265,1145,817,962,846,597,1224,177,8953
LGA26670,815,360,389,224,293,155,185,282,49,2752
LGA26700,1923,2116,1795,1298,1435,1297,1008,1462,245,12579
LGA26730,1630,2816,2363,1569,1786,1800,939,1978,241,15122
LGA26810,3091,2736,2975,1859,1941,1538,1242,2186,317,17885
LGA26890,826,226,153,140,149,91,129,281,40,2035
LGA26980,9368,21982,7941,6315,10977,6966,2143,4306,1324,71322
LGA27070,6688,10547,11549,6749,11706,7922,6610,7988,1733,71492
LGA27170,1742,2724,2862,1861,2294,1748,1383,1932,342,16888
LGA27260,8040,13387,11143,7237,13258,7478,7658,7174,1884,77259
LGA27350,6614,18527,3099,3446,5288,3062,724,1522,759,43041
LGA27450,8965,12636,13879,7461,10770,7058,4362,7045,1407,73583
LGA27630,881,372,297,283,245,171,196,348,52,2845
LGA29399,115,46,75,101,29,55,53,54,14,542
LGA29499,244,506,368,295,260,190,206,322,89,2480
LGA30250,18,63,12,38,16,14,11,51,11,234
LGA30300,594,248,252,165,223,147,260,365,47,2301
LGA30370,1494,753,1243,456,684,438,1196,1144,118,7526
LGA30410,469,157,201,121,151,75,163,289,15,1641
LGA30450,69,14,19,14,20,0,22,54,9,221
LGA30760,298,90,105,81,100,85,109,238,12,1118
LGA30900,60,17,21,6,16,12,29,59,11,231
LGA31000,67915,156781,60228,49453,87220,48226,23186,37760,9620,540389
LGA31750,62,13,39,8,24,4,30,54,0,234
LGA31820,4154,4869,5013,3442,4181,3602,2952,5223,575,34011
LGA31900,1372,805,1272,658,920,609,975,1280,122,8013
LGA31950,40,43,48,13,30,4,55,59,0,292
LGA32070,8557,12888,11903,9165,10576,8113,4360,7576,1368,74506
LGA32250,129,86,110,76,81,24,84,225,32,847
LGA32260,1987,1279,2011,1119,1297,1005,1145,2396,235,12474
LGA32270,2224,1637,2871,843,1766,870,3031,1733,292,15267
LGA32310,749,628,830,441,480,406,749,743,114,5140
LGA32330,14,16,8,61,20,6,11,59,5,200
LGA32450,202,206,275,100,202,76,327,253,36,1677
LGA32500,279,248,198,176,153,83,134,276,43,1590
LGA32600,38,18,15,8,9,0,12,32,3,135
LGA32750,32,20,28,16,14,0,30,46,0,186
LGA32770,16,40,23,62,21,12,10,90,8,282
LGA33100,150,28,31,30,32,12,52,100,23,458
LGA33200,274,57,94,58,88,51,119,146,13,900
LGA33220,3226,4894,5040,4224,4359,3477,2433,4012,569,32234
LGA33360,2613,3596,6331,2007,3286,2344,3870,3642,595,28284
LGA33430,28562,40315,35682,25168,33654,29438,11838,22684,4305,231646
LGA33610,1184,543,608,427,542,377,563,744,70,5058
LGA33620,2401,2128,2682,1767,2026,1702,1619,2707,319,17351
LGA33800,833,616,872,470,535,445,657,703,86,5217
LGA33830,19,40,40,39,30,4,22,74,14,282
LGA33960,6594,10198,12100,8442,11708,7018,7389,9851,1511,74811
LGA33980,1441,1300,2482,559,1152,591,2929,1387,226,12067
LGA34420,29,36,42,50,16,9,16,84,10,292
LGA34570,19,23,12,37,11,5,8,30,15,160
LGA34580,1876,1599,2257,1396,1734,1346,1465,2723,262,14658
LGA34590,11723,15877,21620,12004,20928,12459,13974,16133,2588,127306
LGA34710,443,310,334,215,250,159,153,310,42,2216
LGA34770,5894,7402,12149,4099,7474,4958,7992,6364,1011,57343
LGA34800,188,51,85,23,47,26,129,119,13,681
LGA34830,12,16,4,11,13,0,4,23,3,86
LGA34860,1563,755,953,511,839,424,696,855,134,6730
LGA35010,18617,27929,27805,18450,29015,18317,12876,18354,3125,174488
LGA35250,19,58,34,59,15,10,14,61,10,280
LGA35300,831,1556,2319,833,1159,663,1762,952,258,10333
LGA35600,436,271,285,212,244,162,171,429,53,2263
LGA35670,8,21,15,28,15,0,40,50,4,181
LGA35760,1161,403,431,320,419,256,438,929,93,4450
LGA35780,56,129,77,159,82,46,32,140,42,763
LGA35790,31,87,42,131,61,21,27,179,31,610
LGA35800,256,78,75,87,64,44,78,137,21,840
LGA36070,20,36,22,44,24,10,8,58,18,240
LGA36150,170,41,56,39,50,24,62,86,15,543
LGA36250,8333,11053,11123,6521,11754,7197,4234,6660,1084,67959
LGA36300,139,35,43,28,39,20,40,101,15,460
LGA36360,4859,7769,8656,5103,6907,4674,4925,5974,973,49840
LGA36510,2619,2314,2659,1674,1993,1266,1267,2106,267,16165
LGA36580,1319,923,1307,869,1027,686,939,1538,137,8745
