region_id,Intct_fam_no_otr_chld_pre_Fam,Step_fam_no_otr_chld_pre_Fam,Blnd_fam_no_otr_chld_pre_Fam,Intct_fam_othr_child_pres_Fam,Step_fam_othr_child_pres_Fam,Blnd_fam_othr_child_pres_Fam,Otr_cpl_fam_otr_chld_only_Fam,Tot_Families
LGA52450,128,3,3,3,0,0,0,137
LGA52520,142,8,8,3,0,0,0,161
LGA52590,257,17,17,0,0,0,3,294
LGA52660,1332,125,110,15,0,3,6,1591
LGA52730,419,36,25,0,5,0,0,485
LGA52800,378,26,43,48,12,11,29,547
LGA52870,507,50,24,3,3,0,5,592
LGA52940,68,3,3,0,0,0,0,74
LGA53010,59,3,3,0,0,3,0,68
LGA53080,58,12,3,0,0,0,0,73
LGA53150,789,66,24,3,0,0,3,885
LGA53220,601,50,60,33,12,6,13,775
LGA53290,1304,111,80,8,0,0,15,1518
LGA53360,216,17,9,3,0,0,0,245
LGA53430,2138,205,100,17,3,3,5,2471
LGA53520,3455,328,228,43,3,4,40,4101
LGA53570,398,35,26,0,0,0,6,465
LGA53640,128,11,5,3,0,0,3,150
LGA53710,92,8,6,0,0,0,0,106
LGA53780,11677,1021,623,186,8,26,63,13604
LGA53920,163,13,18,40,8,9,17,268
LGA53990,2578,211,179,26,0,3,15,3012
LGA54060,345,30,16,0,0,0,3,394
LGA54130,126,5,0,0,0,0,3,134
LGA54170,19864,1441,694,137,7,14,53,22210
LGA54200,5843,567,299,63,7,11,22,6812
LGA54280,2998,290,204,52,0,7,25,3576
LGA54340,410,27,20,6,0,0,5,468
LGA54410,109,4,12,0,0,0,0,125
LGA54480,64,3,3,0,0,0,0,70
LGA54550,196,13,10,0,0,0,5,224
LGA54620,84,9,4,0,0,0,0,97
LGA54690,37,3,4,0,0,0,4,48
LGA54760,89,6,6,3,0,0,3,107
LGA54830,2725,344,240,38,0,16,31,3394
LGA54900,142,3,8,0,3,0,0,156
LGA54970,39,3,3,3,0,0,6,54
LGA55040,108,7,15,8,0,4,0,142
LGA55110,5743,699,438,49,5,17,53,7004
LGA55180,856,65,50,7,3,0,12,993
LGA55250,58,0,0,0,0,0,9,67
LGA55320,11220,707,311,83,4,11,29,12365
LGA55390,15,5,0,4,0,0,0,24
LGA55460,296,25,22,4,0,0,0,347
LGA55530,50,3,0,0,0,0,0,53
LGA55600,242,26,13,0,0,4,5,290
LGA55670,79,4,8,0,0,0,3,94
LGA55740,836,61,24,0,0,0,0,921
LGA55810,34,6,0,0,3,3,5,51
