region_id,P_85ov_DNPCC,P_85ov_UCC_NS,P_85ov_Total,P_Tot_CF_Own_CCO,P_Tot_CF_Oth_CCO,P_Tot_CF_Own_CC_Oth_CC,P_Tot_CF_Total,P_Tot_DNPCC,P_Tot_UCC_NS,P_Tot_Total
LGA33220,1474,594,2072,13511,4718,696,18925,51202,6955,77082
LGA33360,353,60,417,10497,2978,559,14034,26488,4137,44659
LGA33430,6741,2492,9304,79431,26395,3602,109428,256593,36757,402778
LGA33610,117,39,156,1849,508,77,2434,4859,795,8088
LGA33620,505,297,808,6925,2326,361,9612,23507,3249,36368
LGA33800,271,37,314,1653,652,75,2380,6410,733,9523
LGA33830,3,0,6,170,135,15,320,331,40,691
LGA33960,1440,333,1802,29776,10365,1600,41741,75769,9562,127072
LGA33980,54,12,66,4669,830,241,5740,8975,2162,16877
LGA34420,3,0,3,194,169,21,384,345,13,742
LGA34570,0,0,0,78,95,21,194,152,9,355
LGA34580,379,80,462,5412,1899,299,7610,17171,2448,27229
LGA34590,1878,597,2504,48452,17082,2496,68030,129000,16389,213419
LGA34710,52,9,64,684,206,36,926,2010,221,3157
LGA34770,1047,223,1281,19493,6408,973,26874,54011,7952,88837
LGA34800,6,3,9,168,40,11,219,552,121,892
LGA34830,6,0,6,55,14,0,69,126,8,203
LGA34860,132,22,157,2165,647,78,2890,6099,1117,10106
LGA35010,4270,1268,5578,66979,23367,3803,94149,180557,20374,295080
LGA35250,3,0,3,155,156,45,356,360,20,736
LGA35300,56,10,69,3445,1007,191,4643,8832,2644,16119
LGA35600,62,13,75,720,215,28,963,2258,374,3595
LGA35670,0,0,0,134,126,38,298,261,9,568
LGA35760,128,84,215,1452,516,70,2038,5216,906,8160
LGA35780,5,0,8,429,173,6,608,792,87,1487
LGA35790,3,0,3,364,230,37,631,931,41,1603
LGA35800,18,4,22,238,96,14,348,951,142,1441
LGA36070,0,0,0,117,104,4,225,260,9,494
LGA36150,13,0,13,152,56,12,220,511,49,780
LGA36250,2230,472,2718,23534,9023,1220,33777,70752,6327,110856
LGA36300,14,3,17,140,24,0,164,417,71,652
LGA36360,1176,620,1809,17200,6261,947,24408,52924,9163,86495
LGA36510,580,94,678,5839,2203,347,8389,18615,1931,28935
LGA36580,201,70,277,3394,1257,183,4834,10895,1334,17063
LGA36630,471,126,606,4667,1572,270,6509,15923,1967,24399
LGA36660,653,151,807,5197,1802,259,7258,17722,1919,26899
LGA36710,5611,1370,7030,49856,17570,2696,70122,161584,17127,248833
LGA36810,521,230,757,6238,2351,380,8969,22090,3866,34925
LGA36910,2202,825,3045,24589,9024,1343,34956,74689,9042,118687
LGA36950,17,0,17,460,146,24,630,1275,377,2282
LGA36960,9,0,9,797,384,64,1245,1308,153,2706
LGA37010,1499,339,1854,28464,10070,1438,39972,85440,12220,137632
LGA37300,0,0,0,581,142,48,771,1345,337,2453
LGA37310,413,102,518,5239,1669,267,7175,14643,2389,24207
LGA37340,274,69,346,4520,1396,265,6181,15961,3396,25538
LGA37400,18,3,21,185,54,9,248,734,99,1081
LGA37550,0,0,0,154,59,0,213,374,18,605
LGA37570,0,0,0,51,39,0,90,125,0,215
LGA37600,8,0,8,399,395,22,816,750,15,1581
LGA39399,6,3,9,33,26,0,59,302,92,453
LGA39499,41,12,53,911,637,49,1597,7974,1912,11483
LGA40070,312,49,364,1248,847,46,2141,14202,2153,18496
LGA40120,465,94,569,6840,2810,456,10106,19435,1493,31034
LGA40220,494,76,579,3493,1753,184,5430,13132,1144,19706
LGA40250,9,0,13,371,329,104,804,909,91,1804
LGA40310,469,80,552,3815,1516,209,5540,11314,904,17758
