region_id,P_85y_ov_DNUDW_,P_85y_ov_UDW_NS,P_85y_ov_Total,P_Tot_DUDW_LT_5_h,P_Tot_DUDW_5_14_h,P_Tot_DUDW_15_29_h,P_Tot_DUDW_30_h_mo,P_Tot_DNUDW_,P_Tot_UDW_NS,P_Tot_Total
LGA40430,56,14,95,314,479,273,323,540,141,2070
LGA40520,102,75,264,1467,2150,1176,1014,1873,810,8490
LGA40700,560,346,1557,8682,9922,4859,3259,6533,2238,35493
LGA40910,675,205,1325,8928,10675,5113,3920,9058,2423,40117
LGA41010,24,7,44,529,789,340,244,607,211,2720
LGA41060,1399,738,3317,19320,23112,10644,7925,20479,6859,88339
LGA41140,103,43,211,1373,1910,1065,973,1281,437,7039
LGA41190,27,9,47,295,329,204,210,268,63,1369
LGA41330,6,0,9,206,288,121,113,449,237,1414
LGA41560,169,60,339,1797,2661,1588,1511,2401,791,10749
LGA41750,8,3,16,157,204,134,130,168,48,841
LGA41830,32,6,47,225,347,157,203,327,127,1386
LGA41960,3,11,23,185,235,173,163,169,107,1032
LGA42030,223,94,493,3418,4505,2206,1896,3524,1245,16794
LGA42110,56,26,118,594,814,500,547,681,253,3389
LGA42250,16,41,84,1211,1638,971,769,976,637,6202
LGA42600,781,285,1724,7395,8315,3586,2451,6263,2232,30242
LGA42750,37,19,103,708,1041,573,501,527,276,3626
LGA43080,8,0,19,163,182,114,134,178,68,839
LGA43220,7,17,33,174,199,140,137,150,77,877
LGA43360,29,6,54,334,458,288,291,397,153,1921
LGA43650,81,35,180,2233,3006,1626,1374,1823,608,10670
LGA43710,20,10,55,711,1032,569,582,636,305,3835
LGA43790,168,39,330,1766,2399,1310,1123,1941,599,9138
LGA43920,41,7,73,1277,1770,869,844,1449,439,6648
LGA44000,0,0,0,18,19,4,0,10,4,55
LGA44060,1135,461,2416,16403,19544,8784,6161,14120,4513,69525
LGA44210,71,28,136,1100,1612,998,990,1392,800,6892
LGA44340,877,275,1963,12393,15553,7631,5108,8661,2576,51922
LGA44550,247,68,455,5208,6956,3539,2800,3653,1099,23255
LGA44620,264,85,524,4097,5592,2702,2208,4109,1290,19998
LGA44830,33,10,75,390,573,364,400,447,219,2393
LGA45040,192,83,408,2920,3795,2105,1909,3535,1692,15956
LGA45090,92,37,204,1307,1754,961,800,1207,467,6496
LGA45120,69,9,127,658,924,537,598,751,201,3669
LGA45290,705,173,1285,7692,8426,3464,2270,6177,2002,30031
LGA45340,1428,559,2821,28204,36648,17546,13668,24568,7834,128468
LGA45400,21,10,40,125,189,111,119,156,47,747
LGA45540,11,11,43,172,303,190,243,373,149,1430
LGA45680,487,180,959,11780,14934,7217,6684,15096,5187,60898
LGA45890,1275,597,2801,19781,23536,10254,7917,23285,8640,93413
LGA46090,63,64,184,1791,2514,1313,1193,2556,1780,11147
LGA46300,156,72,345,2275,2930,1482,1245,2395,889,11216
LGA46450,247,62,426,2259,3227,1865,1820,3602,1092,13865
