region_id,Tot_P_MO_B_OS,Tot_P_BP_B_Aus,Tot_P_Country_birth_ns,Tot_P_Tot_Resp
LGA48830,385,8488,475,11021
LGA49399,145,2887,667,4434
LGA49499,141,1401,568,3070
LGA50080,2249,18313,2014,33641
LGA50210,4404,23499,4824,62302
LGA50250,541,4998,1529,10002
LGA50280,870,5884,1002,11767
LGA50350,971,5761,996,14414
LGA50420,3156,18618,4300,61259
LGA50490,1774,11589,3281,35207
LGA50560,72,979,100,1559
LGA50630,120,1082,405,2217
LGA50770,91,959,70,1580
LGA50840,300,2212,182,4326
LGA50910,40,636,74,924
LGA50980,663,9042,1880,15003
LGA51080,48,813,65,1137
LGA51120,45,651,73,974
LGA51190,1724,16375,2899,31343
LGA51260,1907,17031,1931,30332
LGA51310,1654,10777,1248,24976
LGA51330,4093,23733,5193,85511
LGA51400,912,7825,998,14630
LGA51470,22,364,50,549
LGA51540,243,3180,790,5787
LGA51610,45,769,80,1166
LGA51680,286,2237,280,4429
LGA51750,606,3939,763,9281
LGA51820,5408,33280,5312,89685
LGA51890,473,5524,653,9129
LGA51960,182,2025,566,4002
LGA52030,66,697,63,1062
LGA52100,50,766,45,1069
LGA52170,502,3652,786,7609
LGA52240,75,646,76,1077
LGA52310,38,582,44,876
LGA52380,16,152,51,270
LGA52450,86,826,92,1315
LGA52520,78,838,54,1265
LGA52590,165,1866,347,3183
LGA52660,749,7396,806,12402
LGA52730,379,2446,293,5191
LGA52800,147,5213,2222,8427
LGA52870,324,2944,301,5323
LGA52940,44,488,32,676
LGA53010,38,422,24,607
LGA53080,46,569,186,1133
LGA53150,487,3107,466,6940
LGA53220,498,5586,2394,11953
LGA53290,717,8505,1082,13475
LGA53360,164,1353,199,2389
LGA53430,1652,10098,2084,26581
LGA53520,1862,22725,2938,36445
LGA53570,307,2326,410,4688
LGA53640,70,886,96,1271
LGA53710,63,696,60,986
LGA53780,5905,33695,8796,106587
LGA53920,35,3078,156,3561
LGA53990,1347,12757,1650,23243
LGA54060,213,2203,218,3557
LGA54130,45,747,54,1050
LGA54170,9394,53461,7242,152399
LGA54200,3453,22627,3409,53567
LGA54280,1440,15692,4157,31111
LGA54340,204,2319,273,4187
LGA54410,56,798,67,1172
LGA54480,35,399,15,513
LGA54550,108,1279,96,1975
LGA54620,62,651,96,1043
LGA54690,33,294,13,434
LGA54760,56,582,23,822
LGA54830,1879,11275,3293,29226
LGA54900,89,901,61,1364
LGA54970,51,677,149,1225
LGA55040,102,1026,684,2514
LGA55110,4181,33456,5575,69898
LGA55180,555,5186,548,9181
LGA55250,56,779,273,1385
LGA55320,5781,36019,5093,95698
LGA55390,9,325,18,382
LGA55460,190,1977,232,3279
LGA55530,35,344,29,483
LGA55600,121,1680,162,2488
LGA55670,56,586,79,896
LGA55740,547,3527,638,8601
LGA55810,31,406,89,645
LGA55880,23,346,16,485
LGA55950,41,349,11,496
LGA56020,20,501,74,708
LGA56090,2453,15745,3634,36528
LGA56160,3,79,8,112
LGA56230,912,7647,1106,14149
