region_id,Median_age_persons,Median_mortgage_repay_monthly,Median_Tot_prsnl_inc_weekly,Median_rent_weekly,Median_Tot_fam_inc_weekly,Average_num_psns_per_bedroom,Median_Tot_hhd_inc_weekly,Average_household_size
LGA57630,48,2000,485,0,2449,1.1,1042,2.0
LGA57700,35,2167,666,309,1763,1.1,1638,3.0
LGA57770,45,737,567,120,1312,1.1,946,2.1
LGA57840,36,2200,780,340,2259,1.1,1606,2.3
LGA57910,36,2000,689,310,1783,1.1,1353,2.4
LGA57980,35,2214,830,351,2565,1.1,1599,2.1
LGA58050,34,1950,653,315,1648,1.1,1441,2.8
LGA58190,41,272,434,50,972,1.1,957,2.5
LGA58260,40,532,544,84,1125,1.1,1005,2.3
LGA58330,46,1517,497,230,1275,1.1,1012,2.4
LGA58400,44,498,511,75,1166,1.1,807,2.3
LGA58470,27,0,311,50,650,1.4,862,3.2
LGA58510,34,2167,696,310,1844,1.1,1360,2.2
LGA58540,41,477,537,70,1238,1.1,902,2.4
LGA58570,34,2300,867,360,2309,1.1,1689,2.2
LGA58610,45,927,460,110,1127,1.1,826,2.3
LGA58680,44,1647,738,223,1559,1.2,1298,2.6
LGA58760,32,2104,656,350,1691,1.1,1514,2.9
LGA58820,42,1517,498,200,1422,1.1,1107,2.5
LGA58890,44,712,500,60,962,1.1,887,2.4
LGA59030,43,1439,774,46,1292,1.1,1458,2.3
LGA59100,42,606,496,110,911,1.1,777,2.4
LGA59170,43,1083,611,115,1289,1.1,1107,2.3
LGA59250,34,190,1667,25,885,1.5,1278,3.6
LGA59310,38,975,645,114,1423,1.1,1172,2.4
LGA59320,39,534,566,92,963,1.1,909,2.5
LGA59330,45,585,430,125,893,1.1,775,2.1
LGA59340,31,2167,794,120,1718,1.3,1547,2.7
LGA59350,33,0,1504,0,1375,1.2,1231,3.2
LGA59360,38,867,945,100,1434,1.1,1118,2.4
LGA59370,47,1404,477,200,1156,1.1,908,2.4
LGA59399,36,0,2000,0,0,0,0,0
LGA59499,40,0,491,0,0,0,0,0
LGA60210,50,953,366,167,831,1.1,654,2.1
LGA60410,33,1300,485,185,1083,1.1,957,2.7
LGA60610,38,1148,455,175,1080,1.1,854,2.4
LGA60810,43,1235,450,180,1108,1.1,869,2.4
LGA61010,45,832,376,79,866,1.1,710,2.3
LGA61210,38,1092,509,130,1156,1.1,936,2.5
LGA61410,41,1500,577,235,1400,1.1,1124,2.4
LGA61510,41,1200,432,185,1080,1.1,869,2.5
LGA61610,40,1257,457,190,1048,1.1,835,2.4
LGA61810,44,997,393,135,922,1.1,734,2.3
LGA62010,52,1000,454,80,963,1.0,830,1.9
LGA62210,42,1200,394,170,972,1.1,788,2.4
LGA62410,53,1096,422,160,908,1.1,753,2.1
LGA62610,39,1322,487,215,1126,1.1,869,2.3
LGA62810,38,1700,641,260,1782,1.1,1260,2.3
LGA63010,42,1192,441,200,1058,1.1,868,2.5
LGA63210,43,1116,395,160,962,1.1,820,2.5
LGA63410,46,867,625,115,1357,1.1,953,2.1
LGA63610,40,1517,594,275,1473,1.1,1208,2.5
LGA63810,44,1300,480,195,1136,1.1,923,2.4
LGA64010,38,1300,484,200,1175,1.1,907,2.3
LGA64210,42,1300,477,200,1175,1.1,922,2.4
LGA64610,43,1246,472,150,1137,1.1,909,2.4
LGA64810,40,1257,516,230,1184,1.1,949,2.4
LGA65010,42,1188,430,120,1036,1.1,869,2.5
LGA65210,51,921,374,160,784,1.1,683,2.1
LGA65410,43,1157,422,170,1070,1.1,844,2.4
LGA65610,39,769,465,125,1284,1.1,966,2.2
LGA65810,42,1311,517,220,1286,1.1,1028,2.5
LGA69399,43,0,1180,0,0,0,0,0
LGA69499,37,0,338,0,0,0,0,0
LGA70200,33,1950,866,300,1974,1.2,1692,2.6
LGA70420,27,967,312,50,763,1.6,1158,3.5
LGA70540,28,0,289,80,766,1.9,1125,4.3
LGA70620,27,0,272,20,625,1.7,1063,4.3
LGA70700,43,1333,528,92,1066,1.2,806,2.2
LGA71000,34,2167,899,360,2063,1.2,1809,2.6
LGA71300,25,108,263,40,728,2.0,1410,5.3
LGA72200,31,1733,759,200,1759,1.2,1534,2.8
LGA72300,36,2167,864,300,2010,1.2,1767,2.8
LGA72330,27,1625,257,25,571,1.7,954,4.0
LGA72800,28,2167,911,365,2009,1.1,1814,2.9
LGA73600,24,823,279,50,727,1.9,1126,4.3
LGA74050,26,542,250,40,589,1.6,774,4.0
LGA74500,23,867,275,40,650,1.8,1021,4.1
LGA74560,47,2100,880,175,1922,1.3,1302,2.0
LGA74660,26,108,325,50,997,1.8,1717,4.2
LGA79399,33,1300,1004,11,2513,1.2,1998,2.6
LGA79499,45,0,490,0,0,0,0,0
LGA89399,34,2167,918,380,2277,1.1,1920,2.6
LGA89499,31,0,500,0,0,0,0,0
LGA99399,32,867,817,89,1753,1.2,1670,2.9
LGA99499,29,0,1545,0,0,0,0,0
