region_id,T_EI_ns_IndSt_nsP,T_EI_ns_TotM,T_EI_ns_TotF,T_EI_ns_TotP,Tot_Indig_M,Tot_Indig_F,Tot_Indig_P,Tot_NonInd_M,Tot_NonInd_F,Tot_NonInd_P,Tot_IndigStat_nsM,Tot_IndigStat_nsF,Tot_IndigStat_nsP,Tot_TotM,Tot_TotF,Tot_TotP
IARE507001,933,1327,906,2233,323,193,516,3918,3995,7913,577,445,1022,4818,4633,9451
IARE507002,910,916,726,1642,208,197,405,2168,2231,4399,552,419,971,2928,2847,5775
IARE507003,1524,1651,1292,2943,235,205,440,3187,3314,6501,858,739,1597,4280,4258,8538
IARE507004,1108,981,953,1934,111,120,231,3357,3546,6903,628,541,1169,4096,4207,8303
IARE507005,371,374,280,654,70,77,147,892,808,1700,249,154,403,1211,1039,2250
IARE507006,1061,903,843,1746,105,88,193,2822,2868,5690,583,529,1112,3510,3485,6995
IARE507007,257,291,221,512,65,78,143,687,775,1462,175,97,272,927,950,1877
IARE507008,206,277,201,478,90,81,171,673,712,1385,130,84,214,893,877,1770
IARE507009,3623,3225,2983,6208,266,285,551,7664,8479,16143,2112,1668,3780,10042,10432,20474
IARE507010,680,745,620,1365,100,89,189,2165,2256,4421,400,334,734,2665,2679,5344
IARE507011,866,753,574,1327,96,132,228,1559,1597,3156,529,360,889,2184,2089,4273
IARE507012,824,827,516,1343,101,92,193,1484,1558,3042,587,277,864,2172,1927,4099
IARE507013,347,476,463,939,195,185,380,1573,1695,3268,201,178,379,1969,2058,4027
IARE507014,509,408,391,799,103,100,203,641,704,1345,269,267,536,1013,1071,2084
IARE507015,2460,2347,1947,4294,244,251,495,6974,7310,14284,1527,1068,2595,8745,8629,17374
IARE508001,547,365,322,687,185,207,392,151,161,312,289,258,547,625,626,1251
IARE508002,42,66,60,126,157,175,332,41,25,66,20,28,48,218,228,446
IARE508003,0,54,56,110,206,196,402,0,3,3,0,0,0,206,199,405
IARE508004,61,1450,26,1476,108,112,220,1402,18,1420,51,10,61,1561,140,1701
IARE594994,675,918,456,1374,151,125,276,588,405,993,471,210,681,1210,740,1950
IARE597997,59,58,5,63,0,0,0,20,0,20,54,5,59,74,5,79
IARE601001,1302,1566,1712,3278,460,496,956,4853,5357,10210,760,684,1444,6073,6537,12610
IARE601002,738,1095,878,1973,232,216,448,3387,3359,6746,440,372,812,4059,3947,8006
IARE601003,5043,5547,5272,10819,1008,1041,2049,19601,20454,40055,2900,2548,5448,23509,24043,47552
IARE601004,309,457,402,859,226,240,466,1522,1596,3118,204,153,357,1952,1989,3941
IARE601005,705,771,815,1586,212,197,409,4215,4544,8759,404,393,797,4831,5134,9965
IARE601006,1851,1973,2064,4037,381,420,801,7814,8191,16005,1015,984,1999,9210,9595,18805
IARE601007,482,599,633,1232,143,144,287,2815,2978,5793,279,266,545,3237,3388,6625
IARE601008,592,713,670,1383,161,197,358,1971,2138,4109,361,294,655,2493,2629,5122
IARE601009,618,663,648,1311,165,140,305,1888,2024,3912,334,325,659,2387,2489,4876
IARE601010,1342,1656,1573,3229,636,638,1274,4919,5360,10279,800,667,1467,6355,6665,13020
IARE601011,769,897,851,1748,162,135,297,3715,4076,7791,469,381,850,4346,4592,8938
IARE694994,56,112,50,162,26,5,31,115,108,223,39,20,59,180,133,313
IARE697997,5,5,3,8,3,0,3,0,6,6,5,0,5,8,6,14
IARE701001,1726,1520,1297,2817,809,884,1693,2292,2509,4801,1041,765,1806,4142,4158,8300
IARE701002,0,33,53,86,120,130,250,3,0,3,0,0,0,123,130,253
IARE702001,44,623,93,716,720,254,974,53,9,62,30,17,47,803,280,1083
IARE702002,5,41,34,75,84,83,167,3,0,3,5,0,5,92,83,175
IARE702003,8,27,23,50,107,116,223,11,9,20,5,6,11,123,131,254
IARE702004,42,35,23,58,24,21,45,3,0,3,26,16,42,53,37,90
IARE702005,10,83,99,182,109,117,226,9,12,21,3,7,10,121,136,257
IARE702006,0,5,9,14,34,44,78,0,4,4,0,0,0,34,48,82
IARE702007,6,35,40,75,89,96,185,9,10,19,3,3,6,101,109,210
IARE702008,31,53,55,108,52,72,124,21,17,38,18,16,34,91,105,196
IARE702009,165,135,98,233,60,61,121,67,84,151,98,67,165,225,212,437
IARE702010,34,46,29,75,45,44,89,12,3,15,29,5,34,86,52,138
IARE702011,4,61,72,133,93,93,186,0,3,3,4,0,4,97,96,193
