region_id,No_Int_con_HHs_with_Ind_p,No_Internet_connect_Other_hhd,No_Internet_connect_Tot_hhd,Ty_Int_con_Bba_HHs_with_Ind_p,Type_Int_conn_Bband_Other_hhd,Type_Int_conn_Bband_Tot_hhd,Typ_Int_con_Diup_HHs_w_Ind_p,Type_Int_conn_Di_up_Other_hhd,Type_Int_conn_Di_up_Tot_hhd,Type_Int_con_Oth_HHs_w_Ind_p,Type_Int_conn_Other_Other_hhd,Type_Int_conn_Other_Tot_hhd,Type_Int_con_Tot_HHs_w_Ind_p,Type_Int_conn_Tot_Oth_hhd,Type_Int_conn_Tot_Tot_hhd,Internet_con_ns_HHs_w_Ind_p,Internet_connect_ns_Oth_hhd,Internet_connect_ns_Tot_hhd,Tot_Hholds_w_Indig_per,Tot_Oth_households,Tot_Tot_households
IARE107028,31,7239,7270,184,61591,61775,4,1672,1676,17,3215,3232,205,66478,66683,8,1790,1798,244,75507,75751
IARE107029,71,2196,2267,320,9427,9747,21,482,503,25,347,372,366,10256,10622,20,517,537,457,12969,13426
IARE107030,506,16144,16650,1277,46163,47440,60,2356,2416,120,2454,2574,1457,50973,52430,106,2580,2686,2069,69697,71766
IARE107031,28,5287,5315,148,34738,34886,5,1113,1118,14,2466,2480,167,38317,38484,9,1527,1536,204,45131,45335
IARE194994,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IARE197997,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IARE201001,80,14174,14254,194,37806,38000,9,1479,1488,25,2051,2076,228,41336,41564,27,2925,2952,335,58435,58770
IARE201002,40,4152,4192,155,18091,18246,8,833,841,15,1000,1015,178,19924,20102,11,766,777,229,24842,25071
IARE201003,34,4433,4467,230,24324,24554,3,879,882,17,1129,1146,250,26332,26582,10,1140,1150,294,31905,32199
IARE201004,124,11793,11917,434,60010,60444,18,2312,2330,34,2748,2782,486,65070,65556,48,2950,2998,658,79813,80471
IARE201005,121,18967,19088,501,71065,71566,14,2794,2808,43,3730,3773,558,77589,78147,43,3573,3616,722,100129,100851
IARE201006,72,11462,11534,116,28477,28593,9,1259,1268,14,1614,1628,139,31350,31489,31,2435,2466,242,45247,45489
IARE201007,34,7568,7602,195,39983,40178,7,1307,1314,14,1393,1407,216,42683,42899,14,1549,1563,264,51800,52064
IARE201008,77,13989,14066,237,45684,45921,9,1646,1655,25,2816,2841,271,50146,50417,28,2498,2526,376,66633,67009
IARE201009,45,6152,6197,151,28649,28800,4,1036,1040,11,1279,1290,166,30964,31130,13,1045,1058,224,38161,38385
IARE201010,66,24575,24641,343,138020,138363,16,4709,4725,33,6752,6785,392,149481,149873,36,4955,4991,494,179011,179505
IARE201011,101,15225,15326,331,77677,78008,12,2829,2841,41,2531,2572,384,83037,83421,26,2924,2950,511,101186,101697
IARE201012,105,13844,13949,361,84774,85135,15,2908,2923,53,7713,7766,429,95395,95824,31,3198,3229,565,112437,113002
IARE201013,53,5377,5430,248,25615,25863,13,1011,1024,24,1378,1402,285,28004,28289,15,1240,1255,353,34621,34974
IARE201014,32,9686,9718,136,44718,44854,0,1560,1560,11,1414,1425,147,47692,47839,10,1810,1820,189,59188,59377
IARE201015,128,17750,17878,363,49555,49918,15,1944,1959,38,2995,3033,416,54494,54910,40,3064,3104,584,75308,75892
IARE201016,91,11169,11260,342,36748,37090,14,2004,2018,27,1838,1865,383,40590,40973,19,1898,1917,493,53657,54150
IARE201017,259,22135,22394,642,68336,68978,27,2474,2501,68,4001,4069,737,74811,75548,87,3819,3906,1083,100765,101848
IARE201018,35,9364,9399,115,41465,41580,4,1500,1504,4,1345,1349,123,44310,44433,12,1631,1643,170,55305,55475
IARE201019,147,14509,14656,484,59842,60326,26,2356,2382,54,3707,3761,564,65905,66469,40,2779,2819,751,83193,83944
IARE201020,103,7891,7994,333,37518,37851,14,1780,1794,17,1473,1490,364,40771,41135,21,1469,1490,488,50131,50619
IARE202001,138,8995,9133,320,24326,24646,22,1199,1221,55,1577,1632,397,27102,27499,34,1311,1345,569,37408,37977
IARE202002,56,3648,3704,109,10450,10559,0,727,727,12,629,641,121,11806,11927,16,556,572,193,16010,16203
IARE202003,175,8871,9046,403,24530,24933,18,1419,1437,45,1388,1433,466,27337,27803,42,1283,1325,683,37491,38174
IARE202004,512,12630,13142,669,27237,27906,40,1594,1634,117,1623,1740,826,30454,31280,115,1801,1916,1453,44885,46338
IARE202005,102,7931,8033,179,14415,14594,10,1180,1190,18,794,812,207,16389,16596,23,975,998,332,25295,25627
IARE202006,209,18428,18637,529,53676,54205,33,2646,2679,71,3323,3394,633,59645,60278,48,2782,2830,890,80855,81745
IARE202007,323,8542,8865,359,19604,19963,13,1321,1334,46,1107,1153,418,22032,22450,69,1145,1214,810,31719,32529
IARE202008,156,6868,7024,245,17163,17408,8,879,887,36,1148,1184,289,19190,19479,28,1113,1141,473,27171,27644
IARE202009,53,4279,4332,160,17477,17637,10,941,951,14,825,839,184,19243,19427,8,833,841,245,24355,24600
IARE202010,292,5336,5628,332,10940,11272,9,601,610,64,755,819,405,12296,12701,67,854,921,764,18486,19250
