region_id,NsQ_AD_DL_In_st_nsP,NsQ_AD_DL_TotM,NsQ_AD_DL_TotF,NsQ_AD_DL_TotP,NsQ_Crt_II_Ind_M,NsQ_Crt_II_Ind_F,NsQ_Crt_II_Ind_P,NsQ_Cer_II_No_Ind_M,NsQ_Cer_II_No_Ind_F,NsQ_Cer_II_No_Ind_P,NsQ_Ce_II_IndSt_nsM,NsQ_Ce_II_IndSt_nsF,NsQ_Ce_II_IndSt_nsP,NsQ_Crt_II_TotM,NsQ_Crt_II_TotF,NsQ_Crt_II_TotP,NsQ_Crt_III_ovr_Ind_M,NsQ_Crt_III_ovr_Ind_F,NsQ_Crt_III_ovr_Ind_P,NsQ_Cer_III_ov_No_In_M,NsQ_Cer_III_ov_No_In_F,NsQ_Cer_III_ov_No_In_P,NsQ_Ce_III_ov_Ind_s_nsM,NsQ_Ce_III_ov_Ind_s_nsF,NsQ_Ce_III_ov_Ind_s_nsP,NsQ_Crt_III_ovr_TotM,NsQ_Crt_III_ovr_TotF,NsQ_Crt_III_ovr_TotP,Mig_Sme_add_1_yr_ago_Indig_M,Mig_Sme_add_1_yr_ago_Indig_F,Mig_Sme_add_1_yr_ago_Indig_P,Mig_Sme_add_1_yr_ago_No_Ind_M,Mig_Sme_add_1_yr_ago_No_Ind_F,Mig_Sme_add_1_yr_ago_No_Ind_P,Mig_sa_ad_1_yr_ag_IndSt_nsM,Mig_sa_ad_1_yr_ag_IndSt_nsF,Mig_sa_ad_1_yr_ag_IndSt_nsP,Mig_Sme_add_1_yr_ago_TotM,Mig_Sme_add_1_yr_ago_TotF,Mig_Sme_add_1_yr_ago_TotP,Mig_Diff_add_1_yr_ago_Indig_M,Mig_Diff_add_1_yr_ago_Indig_F,Mig_Diff_add_1_yr_ago_Indig_P,Mig_Diff_ad_1_yr_ago_No_Ind_M,Mig_Diff_ad_1_yr_ago_No_Ind_F,Mig_Diff_ad_1_yr_ago_No_Ind_P,Mig_Dif_ad_1_yr_ag_In_st_nsM,Mig_Dif_ad_1_yr_ag_In_st_nsF,Mig_Dif_ad_1_yr_ag_In_st_nsP,Mig_Diff_add_1_yr_ago_TotM,Mig_Diff_add_1_yr_ago_TotF,Mig_Diff_add_1_yr_ago_TotP,Mig_Sme_add_5_ago_Indig_M,Mig_Sme_add_5_ago_Indig_F,Mig_Sme_add_5_ago_Indig_P,Mig_Sme_ad_5_ago_No_Ind_M,Mig_Sme_ad_5_ago_No_Ind_F,Mig_Sme_ad_5_ago_No_Ind_P,Mig_sa_ad_5_ag_In_st_nsM,Mig_sa_ad_5_ag_In_st_nsF,Mig_sa_ad_5_ag_In_st_nsP,Mig_Sme_add_5_ago_TotM,Mig_Sme_add_5_ago_TotF,Mig_Sme_add_5_ago_TotP,Mig_Diff_add_5_ago_Ind_M,Mig_Diff_add_5_ago_Ind_F,Mig_Diff_add_5_ago_Ind_P,Mig_Diff_ad_5_ag_No_Ind_M,Mig_Diff_ad_5_ag_No_Ind_F,Mig_Diff_ad_5_ag_No_Ind_P,Mi_Dif_ad_5_ag_In_st_nsM,Mi_Dif_ad_5_ag_In_st_nsF,Mi_Dif_ad_5_ag_In_st_nsP,Mig_Diff_add_5_ago_TotM,Mig_Diff_add_5_ago_TotF,Mig_Diff_add_5_ago_TotP
ILOC40200304,3,10,12,22,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,85,22,107,0,0,0,88,22,110,26,27,53,253,181,434,0,3,3,279,211,490,5,4,9,45,42,87,3,0,3,53,46,99,15,20,35,169,118,287,3,0,3,187,138,325,10,6,16,106,79,185,0,0,0,116,85,201
ILOC40200305,0,97,111,208,0,0,0,12,30,42,0,3,3,12,33,45,12,3,15,754,218,972,5,3,8,771,224,995,29,11,40,1520,1176,2696,10,18,28,1559,1205,2764,15,16,31,777,576,1353,9,6,15,801,598,1399,11,8,19,579,410,989,4,3,7,594,421,1015,29,19,48,1520,1166,2686,11,12,23,1560,1197,2757
ILOC40200401,8,427,855,1282,3,9,12,100,254,354,0,0,0,103,263,366,40,37,77,3005,1236,4241,23,4,27,3068,1277,4345,288,309,597,12951,12900,25851,171,196,367,13410,13405,26815,112,132,244,1624,1767,3391,25,24,49,1761,1923,3684,173,188,361,9551,9297,18848,119,153,272,9843,9638,19481,163,188,351,4214,4596,8810,59,43,102,4436,4827,9263
ILOC40200402,0,18,27,45,0,0,0,8,9,17,0,0,0,8,9,17,8,4,12,117,31,148,0,4,4,125,39,164,58,57,115,430,435,865,3,8,11,491,500,991,3,8,11,68,55,123,3,3,6,74,66,140,38,43,81,309,302,611,3,4,7,350,349,699,16,18,34,166,172,338,4,5,9,186,195,381
ILOC40200501,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,3,3,6,0,0,0,0,0,0,3,3,6,80,76,156,0,0,0,0,0,0,80,76,156,7,3,10,0,0,0,3,0,3,10,3,13,60,60,120,0,0,0,0,0,0,60,60,120,16,10,26,0,0,0,0,0,0,16,10,26
ILOC40200502,0,84,133,217,8,19,27,26,42,68,0,0,0,34,61,95,57,33,90,643,188,831,9,0,9,709,221,930,438,472,910,2100,2146,4246,32,37,69,2570,2655,5225,113,123,236,295,325,620,4,12,16,412,460,872,292,293,585,1575,1557,3132,27,26,53,1894,1876,3770,184,232,416,657,735,1392,8,14,22,849,981,1830
ILOC40200503,0,18,20,38,0,0,0,0,12,12,0,0,0,0,12,12,0,3,3,130,32,162,0,0,0,130,35,165,5,8,13,346,295,641,5,4,9,356,307,663,3,0,3,42,46,88,3,0,3,48,46,94,6,3,9,240,211,451,7,0,7,253,214,467,0,5,5,129,114,243,0,0,0,129,119,248
ILOC40200504,0,63,73,136,3,7,10,8,20,28,0,0,0,11,27,38,23,20,43,375,84,459,4,0,4,402,104,506,204,260,464,1235,1248,2483,14,18,32,1453,1526,2979,47,74,121,216,211,427,4,0,4,267,285,552,139,156,295,886,876,1762,13,8,21,1038,1040,2078,85,132,217,461,497,958,0,6,6,546,635,1181
ILOC40200505,0,43,48,91,4,5,9,5,5,10,0,0,0,9,10,19,8,7,15,233,88,321,3,0,3,244,95,339,75,61,136,652,693,1345,10,6,16,737,760,1497,16,20,36,79,80,159,3,3,6,98,103,201,44,39,83,441,446,887,7,5,12,492,490,982,34,36,70,254,271,525,3,3,6,291,310,601
ILOC40200601,0,306,463,769,6,11,17,78,188,266,0,0,0,84,199,283,37,36,73,2759,860,3619,20,3,23,2816,899,3715,314,351,665,8687,8466,17153,110,117,227,9111,8934,18045,96,112,208,1379,1371,2750,16,5,21,1491,1488,2979,181,197,378,6162,5944,12106,81,89,170,6424,6230,12654,171,205,376,3265,3306,6571,24,26,50,3460,3537,6997
