region_id,Med_ag_pe_In_pe_h_I_p,Me_ag_ps_N_In_ps_ot_hh,Med_age_psns_Tot,Me_p_in_wk_In_ps_hh_In_p,Me_ps_in_wk_No_In_ps_ot_hh,Med_psnl_inc_wk_Tot,Me_hh_in_wk_In_ps_hh_In_ps,Me_hh_in_wk_No_In_ps_ot_hh,Med_hhd_inc_wk_Tot,Me_mo_re_mt_In_ps_hh_In_ps,Me_mo_re_mt_No_In_ps_ot_hh,Med_mort_repay_mth_Tot,Me_re_wk_In_ps_hh_Ind_psns,Me_re_wk_No_In_psns_oth_hh,Med_rent_wk_Tot,Av_N_p_pe_be_In_ps_hh_wi_In_p,Av_Nu_ps_pe_be_No_In_ps_ot_hh,Avg_Nu_psns_per_bed_Tot,Av_hh_si_In_ps_hh_wi_Ind_psns,Avg_hh_si_No_Ind_psn_othr_hhd,Avg_household_size_Tot,P_d_n_x_b_In_ps_hh_w_In_p,P_d_n_x_b_No_In_p_oth_hh,P_d_n_x_b_Tot
ILOC60100403,23,43,42,407,449,446,1049,869,884,1235,1202,1212,198,195,195,1.2,1.1,1.1,3.2,2.4,2.5,5.7,3.1,3.3
ILOC60100501,22,40,40,520,598,596,1215,1212,1212,1777,1517,1517,280,270,275,1.1,1.1,1.1,3.1,2.5,2.5,4.3,2.0,2.1
ILOC60100601,21,38,38,373,484,480,801,902,898,1300,1300,1300,195,200,200,1.2,1.1,1.1,2.8,2.3,2.3,7.7,2.4,2.6
ILOC60100701,18,40,40,419,558,556,933,1104,1099,1395,1430,1430,220,230,230,1.2,1.0,1.0,2.8,2.5,2.5,2.9,1.1,1.2
ILOC60100702,25,43,43,385,394,394,974,807,817,1473,1105,1122,199,158,160,1.1,1.1,1.1,2.8,2.5,2.5,3.4,3.0,3.0
ILOC60100703,17,45,45,385,415,414,781,821,820,953,1148,1140,180,160,160,1.2,1.1,1.1,3.0,2.4,2.4,6.3,2.0,2.2
ILOC60100801,17,50,50,311,367,366,675,655,656,1200,953,975,205,160,165,1.2,1.1,1.1,3.3,2.1,2.2,4.0,1.7,1.7
ILOC60100802,19,45,44,342,395,394,836,734,738,650,975,975,120,144,140,1.2,1.1,1.1,3.1,2.3,2.3,9.8,1.5,1.8
ILOC60100803,41,54,53,406,477,463,709,864,830,1192,975,975,75,80,80,1.1,1.0,1.0,2.1,1.9,1.9,0,1.1,0.9
ILOC60100804,13,42,42,324,397,395,650,811,798,1083,1207,1200,175,165,170,1.3,1.1,1.1,3.2,2.4,2.4,11.3,2.4,2.8
ILOC60100901,22,54,53,383,424,422,836,744,748,1029,1096,1083,183,160,160,1.2,1.1,1.1,2.9,2.1,2.1,0,1.1,1.1
ILOC60100902,19,41,40,380,521,516,896,954,951,1237,1257,1257,230,230,230,1.2,1.1,1.1,3.2,2.4,2.4,6.8,2.3,2.5
ILOC60100903,43,51,51,327,375,374,655,689,687,867,975,964,160,165,165,1.2,1.1,1.1,2.5,2.1,2.1,6.7,2.4,2.6
ILOC60101001,20,39,38,414,458,456,852,853,853,1203,1148,1148,180,175,175,1.1,1.1,1.1,2.9,2.3,2.4,4.6,1.8,2.0
ILOC60101002,22,41,39,431,540,530,885,948,942,1149,1083,1083,140,120,126,1.1,1.1,1.1,3.0,2.4,2.4,2.8,1.5,1.6
ILOC60101003,19,43,42,433,447,447,1025,989,991,1083,1100,1083,160,165,165,1.3,1.1,1.1,3.4,2.5,2.6,6.0,2.0,2.3
ILOC60101004,23,45,44,413,413,413,988,783,796,1452,1148,1156,200,171,175,1.1,1.1,1.1,2.9,2.3,2.3,2.9,1.9,2.0
ILOC60101005,22,40,39,492,462,464,1239,954,977,700,780,758,145,125,127,1.1,1.1,1.1,3.0,2.2,2.2,8.0,1.2,1.7
ILOC60101101,28,45,44,434,483,481,978,910,914,1493,1300,1300,200,190,190,1.1,1.1,1.1,2.9,2.4,2.4,5.0,1.6,1.8
ILOC60101102,22,42,42,389,528,527,1052,1047,1047,1408,1322,1333,225,220,220,1.1,1.1,1.1,3.0,2.5,2.5,2.8,1.7,1.7
